metric,n_ob,n_events,median_aligned_delta_z,q25_aligned_delta_z,q75_aligned_delta_z,sign_consistency
affine_r2_centered,19,1471,0.032878902167898905,-0.10955365856545052,0.18393792462569988,0.5263157894736842
affine_trace_rate,19,1471,0.024198916652583946,-0.13840014458521277,0.06393940578260807,0.5789473684210527
affine_residual_rms_fraction,19,1471,-0.05536210096297339,-0.18177331177766626,0.0976349160479836,0.5789473684210527
