component,variable,metric_key,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
affine_resid,mean_speed,affine_resid__mean_speed,19,1471,0.024290991633322934,0.04179366495585719,-0.02335626175917843,0.02335626175917843,0.5263157894736842,2
raw,mean_speed,raw__mean_speed,19,1471,0.06096812289472725,0.07611929829050368,0.012462483097838928,0.012462483097838928,0.5263157894736842,2
affine_resid,speed_rms,affine_resid__speed_rms,19,1471,-0.05507216555774028,0.05911421667879624,-0.008678175418333933,0.008678175418333933,0.5263157894736842,2
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1471,-0.04346800332258921,0.026127434772650494,-0.0036409583333013584,0.0036409583333013584,0.5263157894736842,2
affine_pred,speed_rms,affine_pred__speed_rms,19,1470,0.012249111648761538,-0.13107645136351753,0.19060780086756957,0.19060780086756957,0.631578947368421,3
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1470,-0.0012892188204000066,-0.1002161052619227,0.12012206807208595,0.12012206807208595,0.631578947368421,3
affine_resid,speed_rms,affine_resid__speed_rms,19,1470,0.003760479389562865,0.04290167865023545,-0.11610801198130974,0.11610801198130974,0.5789473684210527,3
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1470,0.000681410252518555,-0.04786662906037151,0.11098210981274353,0.11098210981274353,0.631578947368421,3
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1470,0.010108726607478635,0.016932077394626002,-0.10719182765878874,0.10719182765878874,0.5789473684210527,3
affine_resid,mean_speed,affine_resid__mean_speed,19,1470,-0.02279012447281048,-0.14890970822935548,-0.09951479407371058,0.09951479407371058,0.5263157894736842,3
affine_pred,mean_speed,affine_pred__mean_speed,19,1470,-0.05895968547916608,-0.14128280728852283,0.07844538046250094,0.07844538046250094,0.5789473684210527,3
raw,mean_speed,raw__mean_speed,19,1470,-0.027166856163959918,-0.13007688641630552,0.0751427178297415,0.0751427178297415,0.5789473684210527,3
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1470,-0.022922509397220688,-0.14568209257351286,0.0676781639123929,0.0676781639123929,0.5789473684210527,3
affine_pred,velocity_cov_trace,affine_pred__velocity_cov_trace,19,1470,-0.029166456494803594,-0.0541123691443644,0.060374904876078966,0.060374904876078966,0.631578947368421,3
raw,speed_rms,raw__speed_rms,19,1470,0.010028955446641286,-0.09915029929649988,0.035827446498992166,0.035827446498992166,0.5263157894736842,3
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1470,-0.03696251124319394,-0.08859158141564155,-0.03135465536912874,0.03135465536912874,0.5263157894736842,3
raw,mean_speed,raw__mean_speed,19,1469,0.2126287743334578,0.003527551870986915,0.16204576809317134,0.16204576809317134,0.6842105263157895,4
affine_pred,tangential_speed_mean,affine_pred__tangential_speed_mean,19,1469,0.12676316088473694,-0.00716420056769311,0.15055824881151597,0.15055824881151597,0.631578947368421,4
affine_resid,speed_rms,affine_resid__speed_rms,19,1469,-0.0032963780339662074,0.012863454132494755,-0.13578454311247995,0.13578454311247995,0.5263157894736842,4
affine_pred,mean_speed,affine_pred__mean_speed,19,1469,0.17813403319829604,-0.013589513733772207,0.13296872715219013,0.13296872715219013,0.7894736842105263,4
raw,tangential_speed_mean,raw__tangential_speed_mean,19,1469,0.12566611609257236,0.0008362644945695621,0.10996540333932202,0.10996540333932202,0.631578947368421,4
affine_resid,velocity_cov_trace,affine_resid__velocity_cov_trace,19,1469,-0.007141180938437963,0.027820071306113935,-0.10521690980598614,0.10521690980598614,0.5263157894736842,4
affine_resid,tangential_speed_mean,affine_resid__tangential_speed_mean,19,1469,0.039557834128577794,-0.0806059196593619,0.07510566247164518,0.07510566247164518,0.5789473684210527,4
affine_pred,speed_rms,affine_pred__speed_rms,19,1469,0.176774794962551,0.008511026073204295,0.07300950960085428,0.07300950960085428,0.6842105263157895,4
raw,speed_rms,raw__speed_rms,19,1469,0.12070962598594928,0.045055607081755995,0.03845011243693895,0.03845011243693895,0.6842105263157895,4
raw,velocity_cov_trace,raw__velocity_cov_trace,19,1469,0.11634928467626643,0.008641001992714448,0.03710473779383751,0.03710473779383751,0.5263157894736842,4
