variable,component,relative_time_sec,median_aligned_resid_z,q25_aligned_resid_z,q75_aligned_resid_z,n_events
speed_rms,raw,-0.5,0.03016715048258083,-0.6750807150157255,0.7304017413054438,1471
speed_rms,raw,-0.45,-0.03333878443706037,-0.7030192044209105,0.6609686208052743,1471
speed_rms,raw,-0.4,-0.10163223634814993,-0.7605354061046028,0.6097371844681762,1471
speed_rms,raw,-0.35,-0.14654346346211342,-0.7938877899809391,0.574286803024805,1471
speed_rms,raw,-0.3,-0.18838846193764544,-0.8403772723123419,0.5083459631383406,1471
speed_rms,raw,-0.25,-0.1901182292305385,-0.8460459517841851,0.4752134430886868,1471
speed_rms,raw,-0.2,-0.2095895993875242,-0.8786855726051661,0.520493168407012,1471
speed_rms,raw,-0.15,-0.2048058546389214,-0.8708957412225427,0.5063867604380161,1471
speed_rms,raw,-0.1,-0.12435210502371565,-0.8213215622799679,0.5244995959110859,1471
speed_rms,raw,-0.05,-0.03349064148633546,-0.7243191064371051,0.6415092749847618,1471
speed_rms,raw,-0.0,0.01699812020356135,-0.6739555317978976,0.6865081693429747,1471
speed_rms,raw,0.05,0.14174552237593047,-0.566323313439791,0.80567918254949,1471
speed_rms,raw,0.1,0.23012176187066594,-0.4882588780824493,0.8958243813642457,1471
speed_rms,raw,0.15,0.2797373046106365,-0.4313372966002075,0.8919888148858497,1471
speed_rms,raw,0.2,0.20421294029270484,-0.4508124191756042,0.8512462854740407,1471
speed_rms,raw,0.25,0.15093466092076788,-0.537794675956899,0.7955578925996074,1471
speed_rms,raw,0.3,0.06232322692964816,-0.600963380954078,0.7469922615404054,1471
speed_rms,raw,0.35,0.05998075910901956,-0.6157210133726604,0.7174474882170141,1471
speed_rms,raw,0.4,0.002148068178656303,-0.6516453115448689,0.6965631592744516,1471
speed_rms,raw,0.45,-0.04366794297776559,-0.7368903357809888,0.5940952749778078,1471
speed_rms,raw,0.5,-0.08286322789457595,-0.739156685259781,0.5931929233525469,1471
speed_rms,affine_pred,-0.5,-0.009225396597274975,-0.6979745682014107,0.6514971110445178,1471
speed_rms,affine_pred,-0.45,-0.044348099769105115,-0.6987655944915436,0.6686793904648998,1471
speed_rms,affine_pred,-0.4,-0.033595717291028254,-0.6917271497091937,0.6206202796867409,1471
speed_rms,affine_pred,-0.35,-0.07038841118143224,-0.7021084374238951,0.6615415413677436,1471
speed_rms,affine_pred,-0.3,-0.04122868263255098,-0.7407612663665792,0.6452301189858278,1471
