n_any,count,fraction
5,2,0.02
6,1,0.01
7,6,0.06
8,11,0.11
9,13,0.13
10,17,0.17
11,21,0.21
12,16,0.16
13,7,0.07
14,3,0.03
15,1,0.01
16,2,0.02
