ob,target_id,role,b3_metric,local_metric,k,lag_sec,n_events,b3_event_direction_abs_z,b3_non_event_direction_abs_median_z,b3_event_minus_non_event_direction_z,local_event_direction_abs_z,local_non_event_direction_abs_median_z,local_event_minus_non_event_direction_z,p_non_event_direction_ge_event,local_to_b3_direction_ratio,event_conditioned_local_gate,geometry_ladder_reading
15,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,8,0.1,96,0.5893167557311114,0.22050752591338435,0.36880922981772707,1.0626864350026124,0.2419641014181535,0.8207223335844589,0.0,1.8032516887870165,True,local_nonaffine_signal_survives_pilot
15,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,8,0.1,96,0.20076853076448825,0.19710577968777454,0.0036627510767137106,0.26974504822789824,0.221001891417275,0.048743156810623245,0.425,1.343562395962956,False,inconclusive
15,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,8,0.1,96,0.9274421250376914,0.19929338633349705,0.7281487387041944,1.0322779707294218,0.17672355726756886,0.855554413461853,0.0,1.1130376148133987,True,local_nonaffine_signal_survives_pilot
15,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,8,0.1,96,0.8833512564855212,0.20565354810952835,0.6776977083759927,1.0395587543814186,0.1734390597796716,0.8661196946017471,0.0,1.1768350888154964,True,local_nonaffine_signal_survives_pilot
15,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,10,0.1,96,0.5893167557311114,0.22050752591338435,0.36880922981772707,0.7406178664252892,0.1723176417158518,0.5683002247094373,0.0,1.2567398758354873,True,local_nonaffine_signal_survives_pilot
15,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,10,0.1,96,0.20076853076448825,0.19710577968777454,0.0036627510767137106,0.005932931102360914,0.22896146676704937,-0.22302853566468844,1.0,0.029551100861123225,False,local_affine_largely_absorbs_b3_signal
15,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,10,0.1,96,0.9274421250376914,0.19929338633349705,0.7281487387041944,0.8767465585004809,0.21199512923290062,0.6647514292675802,0.0,0.9453382964083605,True,local_nonaffine_signal_survives_pilot
15,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,10,0.1,96,0.8833512564855212,0.20565354810952835,0.6776977083759927,0.901561541799591,0.192682201379585,0.708879340420006,0.0,1.0206149990509108,True,local_nonaffine_signal_survives_pilot
