variable,family,relative_time_sec,median_aligned_resid_z,q25_aligned_resid_z,q75_aligned_resid_z,n_events
resid_velocity_cov_trace,residual_intensity,-0.5,-0.00786475303752902,-0.6455038296390265,0.7614576947153957,1471
resid_velocity_cov_trace,residual_intensity,-0.45,-0.015944761743709422,-0.7153836235997824,0.6928816423329704,1471
resid_velocity_cov_trace,residual_intensity,-0.4,-0.09680110379072557,-0.7615940911879018,0.633430985463813,1471
resid_velocity_cov_trace,residual_intensity,-0.35,-0.11376363595552516,-0.7615869508691738,0.5435301668263474,1471
resid_velocity_cov_trace,residual_intensity,-0.3,-0.11881000805605997,-0.8393663732808803,0.47852059483549675,1471
resid_velocity_cov_trace,residual_intensity,-0.25,-0.18093332453635183,-0.8541737039748201,0.4784255234949688,1471
resid_velocity_cov_trace,residual_intensity,-0.2,-0.19169118702467638,-0.8893690529052524,0.4872252651195256,1471
resid_velocity_cov_trace,residual_intensity,-0.15,-0.17484450691527664,-0.8324391438382626,0.4994763810616903,1471
resid_velocity_cov_trace,residual_intensity,-0.1,-0.13183271972093114,-0.8609140976307466,0.5291653519910009,1471
resid_velocity_cov_trace,residual_intensity,-0.05,-0.05335041778055108,-0.746337862647131,0.6126664755259994,1471
resid_velocity_cov_trace,residual_intensity,-0.0,-0.0015224001142120718,-0.7152627727756544,0.7036105223661602,1471
resid_velocity_cov_trace,residual_intensity,0.05,0.12162625579816776,-0.5617814885827088,0.7919075810219687,1471
resid_velocity_cov_trace,residual_intensity,0.1,0.1722288567675653,-0.47455241322631764,0.8372908227752996,1471
resid_velocity_cov_trace,residual_intensity,0.15,0.23410872141619724,-0.4692440875343278,0.8647238808265945,1471
resid_velocity_cov_trace,residual_intensity,0.2,0.21451168291356024,-0.46700365615641976,0.8395152252119477,1471
resid_velocity_cov_trace,residual_intensity,0.25,0.18783306414839368,-0.5279139846043921,0.7877337433366254,1471
resid_velocity_cov_trace,residual_intensity,0.3,0.09301330754739252,-0.5871735645384728,0.7608490322807999,1471
resid_velocity_cov_trace,residual_intensity,0.35,0.07603178338635296,-0.5774891766619819,0.7543019562929751,1471
resid_velocity_cov_trace,residual_intensity,0.4,0.019382885675490357,-0.6087516010727391,0.7514772585298717,1471
resid_velocity_cov_trace,residual_intensity,0.45,-0.031223905177180225,-0.6965614098026488,0.6153304424372921,1471
resid_velocity_cov_trace,residual_intensity,0.5,-0.06444901743538037,-0.7254984996353541,0.6061790116774514,1471
resid_speed_rms,residual_intensity,-0.5,-0.021331124901766446,-0.6324854880962791,0.7378102270864979,1471
resid_speed_rms,residual_intensity,-0.45,-0.017779746729519902,-0.7332191446556933,0.6892319150725226,1471
resid_speed_rms,residual_intensity,-0.4,-0.10163948013550395,-0.7588845677407152,0.6311348676963919,1471
resid_speed_rms,residual_intensity,-0.35,-0.11137792076211074,-0.7562255906587743,0.5462346057662743,1471
resid_speed_rms,residual_intensity,-0.3,-0.12136458608227614,-0.8406401033273454,0.4757059988493108,1471
resid_speed_rms,residual_intensity,-0.25,-0.17643713402585656,-0.8692515623890193,0.48371354767358354,1471
resid_speed_rms,residual_intensity,-0.2,-0.18533329982191593,-0.8663204659570047,0.4793905109660057,1471
resid_speed_rms,residual_intensity,-0.15,-0.18100125128159583,-0.8463473626681162,0.49164735068447335,1471
resid_speed_rms,residual_intensity,-0.1,-0.1279883299271691,-0.8522563846060285,0.5218275473862772,1471
resid_speed_rms,residual_intensity,-0.05,-0.05127866188789031,-0.7445094913283383,0.6153630602266202,1471
resid_speed_rms,residual_intensity,-0.0,0.005935170311406296,-0.7085014444810415,0.7084282308638923,1471
resid_speed_rms,residual_intensity,0.05,0.12342043593126194,-0.5747389409875416,0.796861031650134,1471
resid_speed_rms,residual_intensity,0.1,0.1747460261442111,-0.4787599744974985,0.8381837412362059,1471
resid_speed_rms,residual_intensity,0.15,0.2368512535044451,-0.4714169160719156,0.8832408126492126,1471
resid_speed_rms,residual_intensity,0.2,0.20834180961697146,-0.4705260514313507,0.8337675174142812,1471
resid_speed_rms,residual_intensity,0.25,0.19089445016851428,-0.5299723674165523,0.7960517604555375,1471
resid_speed_rms,residual_intensity,0.3,0.09181498993482455,-0.5823738269922316,0.7603399357225773,1471
resid_speed_rms,residual_intensity,0.35,0.07342004028151289,-0.5701493655702965,0.7497790104873912,1471
resid_speed_rms,residual_intensity,0.4,0.027535890251010966,-0.6157509989002968,0.742787971376562,1471
resid_speed_rms,residual_intensity,0.45,-0.03640610881462699,-0.6947864956697352,0.6139286621261808,1471
resid_speed_rms,residual_intensity,0.5,-0.06967519964412663,-0.7163063036396684,0.6201739003426296,1471
resid_tangential_speed_mean,tangential_swirl,-0.5,-0.012663711150002328,-0.6562422081827421,0.6756581758203805,1471
resid_tangential_speed_mean,tangential_swirl,-0.45,-0.01968783251727975,-0.723676043266179,0.6208559225326901,1471
resid_tangential_speed_mean,tangential_swirl,-0.4,-0.09352657858716718,-0.7382540224003807,0.5505790336953331,1471
resid_tangential_speed_mean,tangential_swirl,-0.35,-0.13204143490067588,-0.7648520088897404,0.5201621287562359,1471
resid_tangential_speed_mean,tangential_swirl,-0.3,-0.16099533026577334,-0.8135559814064117,0.4905559162769499,1471
resid_tangential_speed_mean,tangential_swirl,-0.25,-0.18378517613178116,-0.8081095491253579,0.5097385979780272,1471
resid_tangential_speed_mean,tangential_swirl,-0.2,-0.13969284497961226,-0.8321600793551038,0.5470378511303409,1471
resid_tangential_speed_mean,tangential_swirl,-0.15,-0.14654938651145175,-0.8049658132373266,0.5336897668669058,1471
resid_tangential_speed_mean,tangential_swirl,-0.1,-0.07029930116137305,-0.756983036204019,0.5703652602147992,1471
resid_tangential_speed_mean,tangential_swirl,-0.05,-0.020554106972318534,-0.6870948958288917,0.629613605295406,1471
resid_tangential_speed_mean,tangential_swirl,-0.0,0.0057889019017778,-0.6402800521684346,0.6914354704682683,1471
resid_tangential_speed_mean,tangential_swirl,0.05,0.08475828905488564,-0.589147581982226,0.7387775239659806,1471
resid_tangential_speed_mean,tangential_swirl,0.1,0.08589570858631958,-0.5585630555407637,0.7980131085888444,1471
resid_tangential_speed_mean,tangential_swirl,0.15,0.17548520246480723,-0.5336079062819914,0.8635322066620443,1471
resid_tangential_speed_mean,tangential_swirl,0.2,0.1400155803571236,-0.5124578762547629,0.8276597561552943,1471
resid_tangential_speed_mean,tangential_swirl,0.25,0.09669934293186654,-0.552713994810459,0.7650033103924339,1471
resid_tangential_speed_mean,tangential_swirl,0.3,0.05114664563313236,-0.5777960283149242,0.7169651791382279,1471
resid_tangential_speed_mean,tangential_swirl,0.35,0.051785762966023635,-0.6125345762429844,0.7189345932591621,1471
resid_tangential_speed_mean,tangential_swirl,0.4,0.01709861013164728,-0.606199804036074,0.7135044511748011,1471
resid_tangential_speed_mean,tangential_swirl,0.45,-0.03779330278737781,-0.7005929190203237,0.6870494082106395,1471
resid_tangential_speed_mean,tangential_swirl,0.5,-0.039230069011372784,-0.7329223050581671,0.6687322995517543,1471
resid_radial_abs_mean,radial,-0.5,0.06562968954504542,-0.6257874458878339,0.7282228866625557,1471
resid_radial_abs_mean,radial,-0.45,0.027352358252546213,-0.7024965063122189,0.6974750596821511,1471
resid_radial_abs_mean,radial,-0.4,-0.041300636911237594,-0.7068627857284482,0.6451271759832041,1471
resid_radial_abs_mean,radial,-0.35,-0.06191166259749051,-0.714348369397746,0.5859779594269827,1471
resid_radial_abs_mean,radial,-0.3,-0.051687604792127764,-0.7132197588575802,0.6325670848500304,1471
resid_radial_abs_mean,radial,-0.25,-0.06308310751926675,-0.7177342116733041,0.5972376986529155,1471
resid_radial_abs_mean,radial,-0.2,-0.0643273355794047,-0.734642738239589,0.6329252825150613,1471
resid_radial_abs_mean,radial,-0.15,-0.06847265801645515,-0.6960573157249776,0.6327842024820194,1471
resid_radial_abs_mean,radial,-0.1,-0.07941581334212489,-0.7396366063952715,0.5693044644119498,1471
resid_radial_abs_mean,radial,-0.05,-0.05554051477841843,-0.6679472905231756,0.6065613879141061,1471
resid_radial_abs_mean,radial,-0.0,0.015576544906164955,-0.6723103291211435,0.6329586027336692,1471
resid_radial_abs_mean,radial,0.05,0.03650714195427182,-0.6476058691580806,0.6977455460050429,1471
resid_radial_abs_mean,radial,0.1,0.12201188153230602,-0.6291440431015253,0.7829443268304659,1471
resid_radial_abs_mean,radial,0.15,0.1336928644485441,-0.5692246642600682,0.7995511029594098,1471
resid_radial_abs_mean,radial,0.2,0.06549445795596476,-0.591083954719259,0.7518906920243735,1471
resid_radial_abs_mean,radial,0.25,0.08045934767521805,-0.5700095157142953,0.6805735889894993,1471
resid_radial_abs_mean,radial,0.3,0.036060662368953146,-0.6264235966839097,0.693854127794272,1471
resid_radial_abs_mean,radial,0.35,0.04737372797473816,-0.6299853895627657,0.6791117981569951,1471
resid_radial_abs_mean,radial,0.4,0.024707617325157506,-0.6544583276295501,0.7067732236316439,1471
resid_radial_abs_mean,radial,0.45,0.01700730784715203,-0.7185844519277937,0.6753531979719096,1471
resid_radial_abs_mean,radial,0.5,-0.038628722275108544,-0.7267753255117844,0.6637028509781553,1471
edge_minus_core_resid_speed,edge_core,-0.5,-0.03593567721920771,-0.6844922649227045,0.6959057316393757,1471
edge_minus_core_resid_speed,edge_core,-0.45,0.018817667061444707,-0.657279591529409,0.6935454502151421,1471
edge_minus_core_resid_speed,edge_core,-0.4,0.08370494102261708,-0.6462954327480843,0.7866612839540226,1471
edge_minus_core_resid_speed,edge_core,-0.35,0.07988069721715826,-0.6208721295297597,0.7424638053362267,1471
edge_minus_core_resid_speed,edge_core,-0.3,0.050488207229490385,-0.6108591718296936,0.7226816028035024,1471
edge_minus_core_resid_speed,edge_core,-0.25,0.053058363896737994,-0.6144798555942674,0.7550645266777358,1471
edge_minus_core_resid_speed,edge_core,-0.2,0.10373909616801373,-0.6322261884989172,0.7851911314069564,1471
edge_minus_core_resid_speed,edge_core,-0.15,0.03489648184759461,-0.6059373184215461,0.7249054691415358,1471
edge_minus_core_resid_speed,edge_core,-0.1,0.060994365115815574,-0.5988074869594247,0.6730572110142445,1471
edge_minus_core_resid_speed,edge_core,-0.05,-0.004457951531137505,-0.6657914075475998,0.6844063152565127,1471
edge_minus_core_resid_speed,edge_core,-0.0,-0.0563061676287411,-0.7022985569726357,0.6378624725194986,1471
edge_minus_core_resid_speed,edge_core,0.05,-0.08884411427647979,-0.6951321046836842,0.592139298277881,1471
edge_minus_core_resid_speed,edge_core,0.1,-0.09526097963882142,-0.7493407955511142,0.58692434436679,1471
edge_minus_core_resid_speed,edge_core,0.15,-0.03268286655489164,-0.6706218648197444,0.6092698400575828,1471
edge_minus_core_resid_speed,edge_core,0.2,-0.02333672520816231,-0.6772763103709913,0.6308637849899806,1471
edge_minus_core_resid_speed,edge_core,0.25,-0.039455900228933416,-0.6925468989666168,0.6386833777262604,1471
