variable,family,n_ob,n_events,real_median_low_to_high_delta_z,real_median_high_to_low_delta_z,real_median_direction_contrast_z,real_abs_median_direction_contrast_z,real_direction_contrast_sign_consistency
resid_velocity_cov_trace,residual_intensity,19,1471,0.25925883223623536,-0.33146631182737557,0.5790683828287234,0.5790683828287234,0.8947368421052632
resid_speed_rms,residual_intensity,19,1471,0.27863779978610304,-0.3205610598423384,0.5521874570287999,0.5521874570287999,0.8947368421052632
resid_tangential_speed_mean,tangential_swirl,19,1471,0.17921606381646832,-0.20099842305892182,0.42423763470043996,0.42423763470043996,0.9473684210526315
radius_resid_speed_corr,edge_core,19,1471,-0.2172179906525925,0.04366488217535415,-0.265240969900851,0.265240969900851,0.6842105263157895
resid_radial_abs_mean,radial,19,1471,0.15100814760258635,-0.08377231198839503,0.25353491385556093,0.25353491385556093,0.7894736842105263
edge_minus_core_resid_speed,edge_core,19,1471,-0.10567122519363148,0.05148270837524657,-0.21931037986054489,0.21931037986054489,0.7368421052631579
edge_minus_core_resid_tangential,edge_core,19,1471,-0.09635100273800479,0.05860528905799721,-0.20076853076448825,0.20076853076448825,0.7894736842105263
resid_inward_fraction,radial,19,1471,0.017042171628785324,-0.08049468011350726,0.08896765499369855,0.08896765499369855,0.5789473684210527
resid_radial_velocity_mean,radial,19,1471,0.14814859599272212,-0.046686094856185356,0.08465227196832814,0.08465227196832814,0.631578947368421
radius_resid_tangential_corr,edge_core,19,1471,0.0321136040872671,0.02066692001397448,-0.07725644479727736,0.07725644479727736,0.631578947368421
resid_tangential_fraction,tangential_swirl,19,1471,-0.08322584294317928,-0.05871682537610823,0.04049912048058646,0.04049912048058646,0.5263157894736842
resid_polarization,residual_order,19,1471,0.0007401097664924139,0.0017831517788016171,-0.010855626490185004,0.010855626490185004,0.5789473684210527
