ob,k,lag_sec,axis,source,n_events,b3_event_direction_abs_z,local_event_direction_abs_z,local_non_event_direction_abs_median_z,local_event_minus_non_event_direction_z,p_non_event_direction_ge_event,local_to_b3_direction_ratio,event_conditioned_local_gate,geometry_ladder_reading
2,8,0.1,both,cached_4081c,43,0.6134503946892399,0.4935207172311168,0.1861498532660341,0.30737086396508273,0.1,0.8044997957514124,True,local_nonaffine_signal_survives_pilot
2,6,0.1,scale,computed_4082,43,0.6134503946892399,0.42784498585976755,0.19907853952418364,0.2287664463355839,0.175,0.6974402324355894,True,local_nonaffine_signal_survives_pilot
2,10,0.1,scale,cached_4081c,43,0.6134503946892399,0.5990398101439129,0.18730397775146,0.4117358323924529,0.1,0.9765089652397615,True,local_nonaffine_signal_survives_pilot
2,12,0.1,scale,computed_4082,43,0.6134503946892399,0.658807204125376,0.27296658182050904,0.38584062230486693,0.075,1.0739372080102954,True,local_nonaffine_signal_survives_pilot
2,8,0.05,timing,computed_4082,43,0.6134503946892399,0.3871402498248474,0.17171589779555124,0.21542435202929616,0.15,0.6310864793248098,True,local_nonaffine_signal_survives_pilot
2,8,0.15,timing,computed_4082,43,0.6134503946892399,0.4862256469827875,0.25978195988645175,0.22644368709633572,0.1,0.7926079291693966,True,local_nonaffine_signal_survives_pilot
4,8,0.1,both,cached_4081c,58,0.3960566270277845,0.1147288053716282,0.1925726363856453,-0.07784383101401711,0.75,0.2896777822722296,False,local_affine_largely_absorbs_b3_signal
4,6,0.1,scale,computed_4082,58,0.3960566270277845,0.34285125299578273,0.27498558230755643,0.0678656706882263,0.375,0.8656622048435785,False,inconclusive
4,10,0.1,scale,cached_4081c,58,0.3960566270277845,0.3341233654534401,0.1792937195791936,0.15482964587424652,0.325,0.8436252360195968,True,local_nonaffine_signal_survives_pilot
4,12,0.1,scale,computed_4082,58,0.3960566270277845,0.39035607829265484,0.2775559275607395,0.11280015073191535,0.325,0.9856067331131169,True,local_nonaffine_signal_survives_pilot
4,8,0.05,timing,computed_4082,58,0.3960566270277845,0.15106823079012519,0.2123527360776431,-0.061284505287517915,0.625,0.38143088760771404,False,local_nonaffine_not_event_conditioned
4,8,0.15,timing,computed_4082,58,0.3960566270277845,0.20960346287324627,0.2576468999743059,-0.04804343710105963,0.625,0.529225995904222,False,local_nonaffine_not_event_conditioned
5,8,0.1,both,cached_4081c,93,0.4242376347004399,0.375322831761817,0.1930015359821522,0.18232129577966483,0.175,0.8846995199443767,True,local_nonaffine_signal_survives_pilot
5,6,0.1,scale,computed_4082,93,0.4242376347004399,0.2592855256742663,0.16279781309093277,0.09648771258333355,0.225,0.6111799248017009,True,local_nonaffine_signal_survives_pilot
5,10,0.1,scale,cached_4081c,93,0.4242376347004399,0.3373176953637895,0.1539658892296805,0.18335180613410904,0.075,0.7951149727722159,True,local_nonaffine_signal_survives_pilot
5,12,0.1,scale,computed_4082,93,0.4242376347004399,0.5031115014379031,0.1356060793388238,0.36750542209907927,0.075,1.185919070553835,True,local_nonaffine_signal_survives_pilot
5,8,0.05,timing,computed_4082,93,0.4242376347004399,0.37117471970332516,0.16831591415112943,0.20285880555219574,0.15,0.8749217168472495,True,local_nonaffine_signal_survives_pilot
5,8,0.15,timing,computed_4082,93,0.4242376347004399,0.1718946607106408,0.11385301723015279,0.058041643480488014,0.325,0.40518484606397076,True,local_nonaffine_signal_survives_pilot
7,8,0.1,both,cached_4081c,33,0.4291045105708926,0.4794063903158786,0.2588334074692326,0.220572982846646,0.225,1.1172252411843981,True,local_nonaffine_signal_survives_pilot
7,6,0.1,scale,computed_4082,33,0.4291045105708926,0.8888661193361942,0.27104713889023724,0.617818980445957,0.0,2.071444362478553,True,local_nonaffine_signal_survives_pilot
7,10,0.1,scale,cached_4081c,33,0.4291045105708926,0.4617550222884095,0.3377139906094903,0.12404103167891917,0.25,1.0760898823321101,True,local_nonaffine_signal_survives_pilot
7,12,0.1,scale,computed_4082,33,0.4291045105708926,0.39719209772593045,0.2939597988393834,0.10323229888654706,0.3,0.9256302088213778,True,local_nonaffine_signal_survives_pilot
