ob,dataset,n_frames_total,n_frames_valid,usable_frame_fraction,n_state_pairs,n_contrasting_pairs,n_selected_pairs,sufficient_pairs,n_unique_frames_in_pairs,paired_frame_fraction,median_state_distance,q95_state_distance,median_theta_diff_deg,median_temporal_sep_sec,median_abs_delta_A_z,median_signed_axis_delta_A_z,mean_signed_axis_delta_A_z,fraction_signed_positive,null_median_abs_signed_axis_delta_A_z,null_q95_abs_signed_axis_delta_A_z,real_minus_null_median_abs_effect,real_beats_null_median_abs,real_beats_null_q95_abs,abs_effect,effect_direction
8,Ob8.txt,1898,1846,0.9726027397260274,51583,18634,5634,True,1519,0.8228602383531961,0.2830654854802358,0.4711136416515319,159.2636015904722,37.5,0.9502295030904508,-0.2213504078630247,-0.1732042865019618,0.4408945686900958,0.0358962925439756,0.0960088040990116,0.185454115319049,True,True,0.2213504078630247,axis_negative_higher
9,Ob9.txt,990,968,0.9777777777777776,7888,2874,1804,True,721,0.7448347107438017,0.3534061448169185,0.4850732736107263,146.1758063147766,26.90000000000001,0.9628842182706157,-0.2191351687792161,-0.2742257095293072,0.4307095343680709,0.0491138444444171,0.1275791915279693,0.1700213243347989,True,True,0.2191351687792161,axis_negative_higher
5,Ob5.txt,1494,1430,0.9571619812583668,37593,13503,4269,True,1200,0.8391608391608392,0.264369531138962,0.4637464504185471,166.34283216664474,29.6,0.9809714949546864,-0.1737648207372661,-0.1478955686412615,0.4586554228156477,0.0496813346397448,0.1247131028738214,0.1240834860975213,True,True,0.1737648207372661,axis_negative_higher
17,Ob17.txt,1998,1922,0.961961961961962,60061,19944,5575,True,1550,0.8064516129032258,0.2682865303477279,0.4671437027894433,165.308722773411,39.79999999999998,0.9820423172501888,0.1416558462758016,0.1381214180417458,0.5361434977578475,0.0410431707087824,0.0900092233542453,0.1006126755670191,True,True,0.1416558462758016,axis_positive_higher
12,Ob12.txt,1997,1965,0.9839759639459188,32531,11808,4723,True,1463,0.744529262086514,0.3158383851185974,0.4782900907693868,148.98351368748547,30.0,0.9162072236473596,0.1406538750249542,0.1592197948885221,0.5384289646411179,0.0324840093985051,0.0977140425068271,0.108169865626449,True,True,0.1406538750249542,axis_positive_higher
15,Ob15.txt,1997,1940,0.971457185778668,44001,16071,5050,True,1485,0.7654639175257731,0.2871450630770862,0.4696507412614931,158.10661730721128,45.6,0.8935048760257657,0.1390363965692299,0.1307542778221927,0.5413861386138614,0.035217371745881,0.1020022368698971,0.1038190248233489,True,True,0.1390363965692299,axis_positive_higher
7,Ob7.txt,998,984,0.9859719438877756,12042,3904,1964,True,698,0.709349593495935,0.3330210699991356,0.483411273128262,151.7023260440577,23.7,0.9570045065087752,-0.1024840444805227,-0.0483416351230654,0.4725050916496945,0.0563475921204929,0.1483884907891461,0.0461364523600298,True,False,0.1024840444805227,axis_negative_higher
2,Ob2.txt,1485,1457,0.9811447811447812,20631,7647,3392,True,1120,0.7687028140013726,0.3225086089006696,0.4821459406091983,150.93607877745524,36.15,0.9249790422371408,-0.1000820546367158,-0.0837246843818949,0.4714033018867924,0.0365011358434359,0.103314540443232,0.0635809187932799,True,False,0.1000820546367158,axis_negative_higher
