feature,plain_label,not_event_q25,not_event_median,not_event_q75,survive_q25,survive_median,survive_q75,median_difference_survive_minus_not_event,exact_permutation_p_two_sided,note
ob,observation index,2.5,4.5,6.5,8.0,12.0,15.5,7.5,0.06398348813209494,exploratory; small n
n_events,transition event count,37.0,62.0,91.0,45.0,91.0,102.5,29.0,0.32327141382868935,exploratory; small n
event_rate_per_sec,transition event rate,0.2715477792760185,0.3634668245643705,0.48276658159318275,0.37075154692922696,0.48094709581945977,0.5362644836987625,0.11748027125508925,0.23503611971104232,exploratory; small n
median_prev_duration_sec,median previous-state duration,0.6237499999999008,0.6674999999999285,0.7037499999999519,0.634999999999927,0.6949999999998617,0.7449999999999841,0.027499999999933245,0.6122291021671826,exploratory; small n
median_next_duration_sec,median next-state duration,0.6212499999999008,0.6949999999999279,0.7487499999999503,0.6374999999998732,0.6899999999998627,0.7199999999998568,-0.0050000000000651745,0.9623323013415893,exploratory; small n
t2_gate_count,secondary T2 gate count,0.0,1.0,2.0,4.0,4.0,4.0,3.0,0.026573787409700723,exploratory; small n
t1_median_local_to_b3_ratio,T1 local/B3 ratio median,0.42292565398317505,1.033206339234583,10.517225875209665,0.9372381721267735,1.506262646370737,1.8633298143671024,0.473056307136154,0.42234262125902994,exploratory; small n; gate-derived feature
t1_median_local_event_minus_non_event_z,T1 local event-control gap median,-0.14178461186205907,-0.11057981972273365,-0.07318623123391471,0.25448226433921867,0.3630220071523223,0.5284682930912965,0.4736018268750559,0.0020639834881320948,exploratory; small n; gate-derived feature
t1_k8_b3_event_direction_abs_z,"T1 B3 event abs, k8 row",0.0708003974619212,0.19711008765598678,0.4029405539181846,0.3746672365956536,0.4612105319435909,0.5814239671766794,0.26410044428760415,0.01934984520123839,exploratory; small n; gate-derived feature
t1_k8_local_event_direction_abs_z,"T1 local event abs, k8",0.10790099761561683,0.19263582494756326,0.2710925740840558,0.4344201588714899,0.513717177730975,0.6966496736279695,0.32108135278341177,0.017027863777089782,exploratory; small n; gate-derived feature
t1_k8_local_non_event_direction_abs_median_z,"T1 local non-event abs, k8",0.2157409156213492,0.25491897514337414,0.30538996910262556,0.18936124482583971,0.1983993541383966,0.22717305401985174,-0.05651962100497754,0.08823529411764706,exploratory; small n; gate-derived feature
t1_k10_local_event_direction_abs_z,"T1 local event abs, k10",0.025445052681208426,0.0932629276511296,0.16058318080744158,0.4704817047456706,0.6176621810680468,0.7876642394439598,0.5243992534169172,0.0020639834881320948,exploratory; small n; gate-derived feature
t1_k10_local_non_event_direction_abs_median_z,"T1 local non-event abs, k10",0.18904669873886243,0.2251543524743539,0.25780084349100096,0.1758056806475227,0.1910873833085145,0.2343378847195104,-0.0340669691658394,0.2724458204334365,exploratory; small n; gate-derived feature
