event_type,relative_time_sec,n_ob,compact_density_resid_z,radius_resid_z,all_tangential,shell_edge_minus_core,shell_core_tangential,shell_edge_tangential
high_to_low,-0.5,14,0.18379202163924563,-0.21666918456153494,0.07948539721955702,-0.04268552449065255,0.0298151545182903,-0.0045738775921656
high_to_low,-0.45,14,0.3442034396446783,-0.2736816836485116,0.03163488183293205,0.006370532746133702,-0.04297957091355145,0.09081541856340694
high_to_low,-0.4,14,0.5945194448446722,-0.4142545737013612,0.12036309121231256,0.011706415451564901,0.0522420391966095,0.21849702374619595
high_to_low,-0.35,14,0.7315210017852698,-0.6204471707087512,0.12917561749394924,0.0140284176139561,0.023872150969061624,0.1290114496552301
high_to_low,-0.3,14,0.9440748422252399,-0.8150776265770019,0.2528696603570963,-0.07044277373468015,0.22811886520537294,0.09446732649980298
high_to_low,-0.25,14,0.9630964053089698,-0.8273955266278104,0.0961398719008218,0.01811896835239333,0.13190344525660463,0.11293101394463557
high_to_low,-0.2,14,1.0535627064261983,-0.894177984469525,0.23729445514029054,-0.06982930512498504,0.1588647987422011,0.2386024641573468
high_to_low,-0.15,14,0.9770380083575695,-0.9027545674837181,0.273119838426846,-0.043015822369908696,0.2523170801494333,0.23200905825860224
high_to_low,-0.1,14,0.8388024023927005,-0.7803880446759422,0.16743465459370208,-0.06805397739249087,0.10588728711955055,0.16918712728273466
high_to_low,-0.05,14,0.6017021837984045,-0.5757672775455974,0.02619560894971075,-0.13628884900156274,0.022323614739370848,-0.02827892966275375
high_to_low,-0.0,14,-0.3834535695041624,0.3883221985066832,-0.07494882957547908,0.05916348583093634,-0.016354252719987125,-0.09105662752047189
high_to_low,0.05,14,-0.8352488129033031,0.7173843333096286,-0.12369095969517097,0.11761191736150303,-0.1382528211961505,-0.08590131813043494
high_to_low,0.1,14,-1.0107830000211497,0.8206537723958218,-0.2151919500353658,0.04705899928616718,-0.19113576254975637,-0.16840587054589973
high_to_low,0.15,14,-0.9776933560590317,0.9303617059724633,-0.19792120588400658,0.038444147752388504,-0.15038214294713126,-0.19153935622962964
high_to_low,0.2,14,-0.9330324441928461,1.0326493082099144,-0.24230259647205885,0.0218892103843849,-0.037132832595959904,-0.1055868884654734
high_to_low,0.25,14,-0.8564255197537782,0.8547131070860502,-0.14290332181571078,-0.06271881225586695,0.02725962529352285,-0.0863923153213168
high_to_low,0.3,14,-0.757279517119201,0.7382805513225632,-0.027687488275740375,0.045124793025569154,0.0304504939894162,-0.0024792052389064987
