ob,dataset,dt_sec,lag_frames,actual_lag_sec,transition_count
1,Ob1.txt,0.0099999999999997,10,0.09999999999999701,10979
2,Ob2.txt,0.0099999999999997,10,0.09999999999999701,14849
3,Ob3.txt,0.0099999999999997,10,0.09999999999999701,14980
4,Ob4.txt,0.0099999999999997,10,0.09999999999999701,14942
5,Ob5.txt,0.0099999999999997,10,0.09999999999999701,14947
6,Ob6.txt,0.009999999999998,10,0.09999999999998,19980
7,Ob7.txt,0.0099999999999997,10,0.09999999999999701,9981
8,Ob8.txt,0.009999999999998,10,0.09999999999998,18979
9,Ob9.txt,0.0099999999999997,10,0.09999999999999701,9922
10,Ob10.txt,0.0099999999999997,10,0.09999999999999701,14980
11,Ob11.txt,0.009999999999998,10,0.09999999999998,19979
12,Ob12.txt,0.009999999999998,10,0.09999999999998,19979
13,Ob13.txt,0.009999999999998,10,0.09999999999998,19979
14,Ob14.txt,0.009999999999998,10,0.09999999999998,19979
15,Ob15.txt,0.009999999999998,10,0.09999999999998,19979
16,Ob16.txt,0.009999999999998,10,0.09999999999998,19979
17,Ob17.txt,0.009999999999998,10,0.09999999999998,19980
18,Ob18.txt,0.009999999999998,10,0.09999999999998,19979
19,Ob19.txt,0.009999999999998,10,0.09999999999998,29980
