spectral_set,run_frames,run_duration_sec,partition_id,ob,dataset
high,6,0.0599999999999982,eig2,1,Ob1.txt
low,5,0.049999999999998504,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,8,0.0799999999999976,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,14,0.1399999999999958,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,25,0.2499999999999925,eig2,1,Ob1.txt
high,86,0.8599999999999742,eig2,1,Ob1.txt
low,4,0.0399999999999988,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,521,5.209999999999844,eig2,1,Ob1.txt
high,14,0.1399999999999958,eig2,1,Ob1.txt
low,3,0.0299999999999991,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,66,0.6599999999999802,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,74,0.7399999999999778,eig2,1,Ob1.txt
high,5,0.049999999999998504,eig2,1,Ob1.txt
low,7,0.0699999999999979,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,3,0.0299999999999991,eig2,1,Ob1.txt
high,8,0.0799999999999976,eig2,1,Ob1.txt
low,2,0.0199999999999994,eig2,1,Ob1.txt
high,121,1.2099999999999638,eig2,1,Ob1.txt
low,352,3.5199999999998943,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,7,0.0699999999999979,eig2,1,Ob1.txt
high,103,1.0299999999999692,eig2,1,Ob1.txt
low,17,0.1699999999999949,eig2,1,Ob1.txt
high,8,0.0799999999999976,eig2,1,Ob1.txt
low,40,0.39999999999998803,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,13,0.1299999999999961,eig2,1,Ob1.txt
high,67,0.66999999999998,eig2,1,Ob1.txt
low,104,1.0399999999999687,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,23,0.2299999999999931,eig2,1,Ob1.txt
low,379,3.7899999999998863,eig2,1,Ob1.txt
high,7,0.0699999999999979,eig2,1,Ob1.txt
low,4,0.0399999999999988,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
