partition_id,ob,dataset,spectral_set,mass,known_fraction,lag_frames,actual_lag_sec,origin_count,retained_count,retention,retention_lift
eig2,1,Ob1.txt,low,0.4993174993174993,1.0,10,0.09999999999999701,5487,4818,0.8780754510661564,0.37875795174865706
eig2,1,Ob1.txt,high,0.5006825006825006,1.0,10,0.09999999999999701,5492,4823,0.8781864530225783,0.3775039523400776
eig2,2,Ob2.txt,low,0.502725620835857,1.0,10,0.09999999999999701,7461,6454,0.8650314971183487,0.36230587628249167
eig2,2,Ob2.txt,high,0.49727437916414297,1.0,10,0.09999999999999701,7388,6382,0.8638332430969139,0.36655886393277093
eig2,3,Ob3.txt,low,0.4999332888592395,1.0,10,0.09999999999999701,7484,6217,0.8307055050774986,0.33077221621825914
eig2,3,Ob3.txt,high,0.5000667111407605,1.0,10,0.09999999999999701,7496,6226,0.8305763073639274,0.3305095962231669
eig2,4,Ob4.txt,low,0.5,1.0,10,0.09999999999999701,7466,6554,0.8778462362710956,0.3778462362710956
eig2,4,Ob4.txt,high,0.5,1.0,10,0.09999999999999701,7476,6554,0.8766720171214554,0.37667201712145537
eig2,5,Ob5.txt,low,0.4999665708363977,1.0,10,0.09999999999999701,7477,6522,0.872274976594891,0.3723084057584933
eig2,5,Ob5.txt,high,0.5000334291636023,1.0,10,0.09999999999999701,7470,6514,0.8720214190093708,0.37198798984576853
eig2,6,Ob6.txt,low,0.5,1.0,10,0.09999999999998,9985,8903,0.8916374561842764,0.39163745618427637
eig2,6,Ob6.txt,high,0.5,1.0,10,0.09999999999998,9995,8903,0.8907453726863431,0.39074537268634313
eig2,7,Ob7.txt,low,0.501251126013412,1.0,10,0.09999999999999701,4998,4252,0.8507402961184474,0.34948917010503533
eig2,7,Ob7.txt,high,0.4987488739865879,1.0,10,0.09999999999999701,4983,4237,0.8502909893638371,0.35154211537724916
eig2,8,Ob8.txt,low,0.4990784138185265,1.0,10,0.09999999999998,9477,8231,0.8685237944497204,0.36944538063119386
eig2,8,Ob8.txt,high,0.5009215861814735,1.0,10,0.09999999999998,9502,8258,0.8690801936434435,0.36815860746196993
eig2,9,Ob9.txt,low,0.49496576721707614,1.0,10,0.09999999999999701,4906,4317,0.8799429270281288,0.3849771598110527
eig2,9,Ob9.txt,high,0.5050342327829239,1.0,10,0.09999999999999701,5016,4427,0.8825757575757576,0.37754152479283365
eig2,10,Ob10.txt,low,0.5002001334222815,1.0,10,0.09999999999999701,7488,6537,0.8729967948717948,0.3727966614495133
eig2,10,Ob10.txt,high,0.49979986657771847,1.0,10,0.09999999999999701,7492,6536,0.8723972237052856,0.37259735712756714
eig2,11,Ob11.txt,low,0.4994747110911001,1.0,10,0.09999999999998,9974,8831,0.8854020453178264,0.3859273342267263
eig2,11,Ob11.txt,high,0.5005252889088999,1.0,10,0.09999999999998,10005,8862,0.8857571214392803,0.3852318325303804
eig2,12,Ob12.txt,low,0.5049777377557657,1.0,10,0.09999999999998,10093,8946,0.8863568810066382,0.3813791432508725
eig2,12,Ob12.txt,high,0.49502226224423435,1.0,10,0.09999999999998,9886,8738,0.8838761885494639,0.3888539263052296
eig2,13,Ob13.txt,low,0.49997498624243336,1.0,10,0.09999999999998,9985,8763,0.8776164246369554,0.3776414383945221
eig2,13,Ob13.txt,high,0.5000250137575667,1.0,10,0.09999999999998,9994,8773,0.8778266960176105,0.37780168226004385
eig2,14,Ob14.txt,low,0.4986242433338336,1.0,10,0.09999999999998,9957,8688,0.8725519734859898,0.3739277301521562
