spectral_set,n_frames,occupancy_fraction,median_center_speed,median_frac_outward,median_radial_velocity_mean,median_r_rms,median_r_rms_z,median_density_rms,median_density_rms_z,median_anisotropy,median_anisotropy_z
high,167332,0.5001823388393685,57.854670402608484,0.5,-0.15909558317285816,182.28336005279715,-0.6530711048454885,1.3241428192766068e-06,0.7262568648827434,2.5907630057609934,-0.12411914213995578
low,167210,0.49981766116063153,59.46552210196458,0.5,0.7019309651611401,205.65323982621646,0.6749015004785586,9.311483227594681e-07,-0.6148487597958205,2.8343023868539534,0.1429037742142919
