spectral_set,n_runs,median_run_duration_sec,q75_run_duration_sec,q90_run_duration_sec,q95_run_duration_sec,mean_run_duration_sec,frac_runs_ge_0p1s,frac_runs_ge_0p2s,frac_runs_ge_0p5s,frac_runs_ge_1p0s,frac_runs_ge_2p0s
high,3633,0.1399999999999958,0.559999999999888,1.329999999999734,1.929999999999614,0.4605890448664342,0.555739058629232,0.4296724470134875,0.26919900908340216,0.14616019818331957,0.04706853839801817
low,3638,0.129999999999974,0.519999999999896,1.29999999999974,2.0899999999996353,0.4596206706981186,0.537108301264431,0.4109400769653656,0.254260582737768,0.13688840021990104,0.052776250687190766
all,7271,0.1299999999999961,0.539999999999892,1.309999999999738,1.994999999999601,0.4601045248245786,0.5464172741025993,0.4202998212075368,0.2617246596066566,0.1415211112639252,0.049924357034795766
