ob,dataset,t1_4088_class,t1_effect_z,t1_local_to_b3_ratio,t1_k8_event_abs_z,t1_k10_event_abs_z,t1_predefined_pass_fraction,t2_gate_count
1,Ob1.txt,fragile_narrow_setting_rescue,-0.018902812176996,0.3081339642852859,0.2645630210041784,0.1735815504795457,0.15384615384615385,0
2,Ob2.txt,robust_survivor,0.3595533481787678,0.890504380495587,0.4935207172311168,0.5990398101439129,1.0,4
3,Ob3.txt,fragile_narrow_setting_rescue,-0.1775016418704972,0.4611895505491381,0.1207086288909481,0.1562503909167402,0.15384615384615385,2
4,Ob4.txt,fragile_survivor,0.0384929074301147,0.5666515091459132,0.1147288053716282,0.3341233654534401,0.2857142857142857,4
5,Ob5.txt,robust_survivor,0.1828365509568869,0.8399072463582962,0.375322831761817,0.3373176953637895,1.0,4
6,Ob6.txt,stable_failure_under_predefined_sensitivity,-0.1298789351925797,37.25323411707858,0.069478103789623,0.030275464385519,0.0,0
7,Ob7.txt,robust_survivor,0.1723070072627825,1.096657561758254,0.4794063903158786,0.4617550222884095,1.0,0
8,Ob8.txt,stable_failure_under_predefined_sensitivity,-0.0912807042528876,1.605223127920028,0.290681233323688,0.0109538175682767,0.0,2
9,Ob9.txt,robust_survivor,0.4660869183335864,2.1000030105476,0.7680434118240885,0.7157256691822503,1.0,4
10,Ob10.txt,robust_survivor,0.3630220071523223,1.2016592501472534,0.5742532985740864,0.8041247935044742,0.8571428571428571,4
11,Ob11.txt,robust_survivor,0.6009139099098415,1.7236640449872536,0.8262699018720059,0.7712036853834454,1.0,4
12,Ob12.txt,robust_survivor,0.3150058626963127,2.8147048513187034,0.4498523670189291,0.6176621810680468,1.0,4
13,Ob13.txt,robust_survivor,0.5170077474316798,1.506262646370737,0.5795725879581811,0.8098358048006362,1.0,4
14,Ob14.txt,robust_survivor,0.3732196081556981,0.98397196375796,0.6836548282868479,0.5047386955291653,1.0,4
15,Ob15.txt,robust_survivor,0.6945112791469481,1.5299957823112518,1.0626864350026124,0.7406178664252892,1.0,4
16,Ob16.txt,robust_survivor,0.5399288387509131,2.276689877044048,0.513717177730975,0.9728155726934072,1.0,4
17,Ob17.txt,robust_survivor,0.2287331111724613,2.002995583746951,0.354554620622092,0.4375162260335332,0.8571428571428571,4
18,Ob18.txt,robust_survivor,0.280231417505976,0.6995143632483813,0.4189879507240506,0.4792083872029317,1.0,4
19,Ob19.txt,robust_survivor,0.641998161148287,1.5296422486565038,0.7096445189690911,0.882306373987572,1.0,4
