ob,dataset,k,lag_sec,lag_steps,n_attempted,valid_fit_fraction,rank3_fraction,median_condition_number,q90_condition_number,median_neighbor_retention,median_relative_residual_fraction,median_d2min,combo_passes_feasibility_gate
1,Ob1.txt,4,0.05,5,12000,0.91875,0.91875,3.5842735994908703,9.244906440628002,1.0,0.4207153910898076,63.39947761326798,True
1,Ob1.txt,4,0.1,10,12000,0.85575,0.85575,3.575277992690712,9.171550503641262,1.0,0.4202676600903611,246.93352556247248,True
1,Ob1.txt,4,0.2,20,12000,0.74875,0.74875,3.561666396270927,9.085694854068503,1.0,0.42077799863356236,921.2455503509013,True
1,Ob1.txt,6,0.05,5,12000,0.977,0.977,2.540138498365242,4.664664900511702,1.0,0.6399435969870937,149.08176672083192,True
1,Ob1.txt,6,0.1,10,12000,0.9569166666666666,0.9569166666666666,2.5554536452580954,4.755709842714236,1.0,0.6331487807660657,567.994999274645,True
1,Ob1.txt,6,0.2,20,12000,0.9195833333333333,0.9195833333333333,2.601138766305812,4.95795319394946,1.0,0.6226917412391033,2014.3405821244887,True
1,Ob1.txt,8,0.05,5,12000,0.9771666666666666,0.9771666666666666,2.17732744173547,3.4875233264247303,1.0,0.7237796973333205,193.4441795895528,True
1,Ob1.txt,8,0.1,10,12000,0.9585833333333333,0.9585833333333333,2.184931627739589,3.5216912290041886,1.0,0.7200541649017751,744.5483942660849,True
1,Ob1.txt,8,0.2,20,12000,0.9254166666666667,0.9254166666666667,2.2073250104825215,3.6310679026500714,1.0,0.7121616811413863,2693.9088823189213,True
1,Ob1.txt,10,0.05,5,12000,0.9771666666666666,0.9771666666666666,2.005169326191143,3.0584700719364775,1.0,0.763957048986967,216.91046929256498,True
1,Ob1.txt,10,0.1,10,12000,0.9585833333333333,0.9585833333333333,2.013545389287036,3.0813412125137623,1.0,0.7616014075047823,836.7144984543899,True
1,Ob1.txt,10,0.2,20,12000,0.9255833333333333,0.9255833333333333,2.0269359989158606,3.1495645957885,1.0,0.7555018290823781,3043.9745865305836,True
1,Ob1.txt,12,0.05,5,12000,0.9771666666666666,0.9771666666666666,1.8992879252126784,2.8042042272912573,1.0,0.7898188529314827,230.76840624933348,True
1,Ob1.txt,12,0.1,10,12000,0.9585833333333333,0.9585833333333333,1.9020305322512672,2.814048855257809,1.0,0.7884078596124895,891.267537940504,True
1,Ob1.txt,12,0.2,20,12000,0.9255833333333333,0.9255833333333333,1.910570550350212,2.854429072456392,1.0,0.782279498847378,3255.146436639628,True
