variant,n_observations,n_both,n_any,n_k8,n_k10,both_fraction,any_fraction,delta_both_vs_4081c,delta_any_vs_4081c,both_observations,any_observations
centered_1s,19,14,15,14,15,0.7368421052631579,0.7894736842105263,0,0,"2,5,7,9,10,11,12,13,14,15,16,17,18,19","2,4,5,7,9,10,11,12,13,14,15,16,17,18,19"
past_1s,19,11,16,12,15,0.5789473684210527,0.8421052631578947,-3,1,"2,7,9,10,11,12,13,14,15,16,19","1,2,4,7,8,9,10,11,12,13,14,15,16,17,18,19"
none_z,19,13,16,16,13,0.6842105263157895,0.8421052631578947,-1,1,"2,4,9,10,11,12,13,14,15,16,17,18,19","2,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19"
