variant,ob,dataset,variable,phase,n_events,real_phase_aligned_z,null_phase_median_aligned_z,null_phase_abs_median_z,event_minus_null_phase_z,abs_event_minus_abs_null_z,p_null_abs_ge_real_abs,phase_gate
centered_1s,2,Ob2.txt,all_tangential,early_pre,43,-0.03518797039513358,-0.01888194204417179,0.06448504437812227,-0.016306028350961788,-0.029297073982988697,0.725,False
centered_1s,2,Ob2.txt,all_tangential,near_pre,43,-0.21032843551859615,-0.005740049172945849,0.06507204598998585,-0.2045883863456503,0.1452563895286103,0.025,True
centered_1s,2,Ob2.txt,all_tangential,near_post,43,0.006910537702181363,-0.017997172858108597,0.0890455174084064,0.02490771056028996,-0.08213497970622503,0.975,False
centered_1s,2,Ob2.txt,all_tangential,late_post,43,0.1567511014280668,0.003030743165864997,0.054464671626610214,0.15372035826220182,0.1022864298014566,0.2,True
centered_1s,5,Ob5.txt,all_tangential,early_pre,93,-0.04770592996504484,0.014798456605372245,0.06374634312151917,-0.06250438657041708,-0.01604041315647433,0.65,False
centered_1s,5,Ob5.txt,all_tangential,near_pre,93,-0.13275751183088116,-0.0021325228987421558,0.040619397285035934,-0.130624988932139,0.09213811454584522,0.075,True
centered_1s,5,Ob5.txt,all_tangential,near_post,93,0.1482366124490234,0.0004930244148858478,0.03474063978175194,0.14774358803413754,0.11349597266727146,0.025,True
centered_1s,5,Ob5.txt,all_tangential,late_post,93,0.12057811590081166,0.03814356513385048,0.05760585164725998,0.08243455076696118,0.06297226425355168,0.225,True
centered_1s,7,Ob7.txt,all_tangential,early_pre,33,-0.12163082328167747,-0.012584457402696647,0.11862986906077407,-0.10904636587898082,0.003000954220903407,0.45,False
centered_1s,7,Ob7.txt,all_tangential,near_pre,33,-0.020395322139716097,0.04408051155834786,0.08042326637509664,-0.06447583369806395,-0.06002794423538055,0.9,False
centered_1s,7,Ob7.txt,all_tangential,near_post,33,0.19683605241891286,-0.025339409128665037,0.058655209103965815,0.2221754615475779,0.13818084331494704,0.05,True
centered_1s,7,Ob7.txt,all_tangential,late_post,33,0.041975608676465964,-0.018622267719386132,0.07077897955154616,0.060597876395852096,-0.028803370875080198,0.8,False
centered_1s,9,Ob9.txt,all_tangential,early_pre,37,-0.1852388556734274,0.008409155049971188,0.067584222852764,-0.1936480107233986,0.11765463282066341,0.15,True
centered_1s,9,Ob9.txt,all_tangential,near_pre,37,-0.25957156954140226,-0.003223195231549042,0.0597568817817445,-0.25634837430985324,0.19981468775965777,0.025,True
centered_1s,9,Ob9.txt,all_tangential,near_post,37,0.1800010445542219,0.015239575113995017,0.09241837517808471,0.16476146944022688,0.08758266937613718,0.15,True
centered_1s,9,Ob9.txt,all_tangential,late_post,37,0.1846776340310961,-0.0006249311731450404,0.0530839769908549,0.18530256520424115,0.1315936570402412,0.05,True
centered_1s,10,Ob10.txt,all_tangential,early_pre,36,-0.07332039567674131,-0.018384664618339135,0.09481054747970744,-0.054935731058402174,-0.021490151802966123,0.575,False
centered_1s,10,Ob10.txt,all_tangential,near_pre,36,-0.10275469403034934,0.014182147323375756,0.09031212368061048,-0.11693684135372509,0.012442570349738863,0.425,False
centered_1s,10,Ob10.txt,all_tangential,near_post,36,0.23116823276586076,0.011861771129205959,0.06391715603050913,0.2193064616366548,0.16725107673535164,0.0,True
centered_1s,10,Ob10.txt,all_tangential,late_post,36,0.044576843441123226,-0.04567955675966658,0.07810871333397469,0.09025640020078982,-0.033531869892851465,0.775,False
centered_1s,11,Ob11.txt,all_tangential,early_pre,119,-0.01004550670117875,0.019673878144678792,0.061223764660710014,-0.02971938484585754,-0.051178257959531265,0.925,False
centered_1s,11,Ob11.txt,all_tangential,near_pre,119,-0.31446888580028376,-0.008165802480189237,0.04560987625893573,-0.30630308332009454,0.268859009541348,0.0,True
centered_1s,11,Ob11.txt,all_tangential,near_post,119,0.1992991903053199,-0.01587409586099558,0.03550615425974557,0.21517328616631548,0.16379303604557433,0.0,True
centered_1s,11,Ob11.txt,all_tangential,late_post,119,0.026728203054997644,-0.004988706343701889,0.04975680160133347,0.03171690939869953,-0.023028598546335828,0.725,False
centered_1s,12,Ob12.txt,all_tangential,early_pre,91,-0.10647970833735951,-0.018662379868393135,0.08232677777267787,-0.08781732846896637,0.024152930564681638,0.275,False
centered_1s,12,Ob12.txt,all_tangential,near_pre,91,-0.20728815605696307,-0.019517934567544748,0.05264291629572117,-0.18777022148941833,0.1546452397612419,0.025,True
centered_1s,12,Ob12.txt,all_tangential,near_post,91,0.15089802389098694,-0.02026880954618453,0.06967299138107545,0.17116683343717148,0.08122503250991149,0.0,True
centered_1s,12,Ob12.txt,all_tangential,late_post,91,0.14466286795897798,-0.016716661737407455,0.05042098446361873,0.16137952969638544,0.09424188349535925,0.1,True
centered_1s,13,Ob13.txt,all_tangential,early_pre,102,-0.15426832260633827,0.02149661713063069,0.05179057956627897,-0.17576493973696897,0.1024777430400593,0.0,True
centered_1s,13,Ob13.txt,all_tangential,near_pre,102,-0.1828417279538168,-0.024426960316735913,0.05386619023792025,-0.1584147676370809,0.12897553771589657,0.025,True
centered_1s,13,Ob13.txt,all_tangential,near_post,102,0.18292779243518137,-0.00013294962113284507,0.0486105906007022,0.1830607420563142,0.13431720183447918,0.0,True
centered_1s,13,Ob13.txt,all_tangential,late_post,102,0.040696608948150796,-0.002226433078748589,0.042787175517180864,0.04292304202689939,-0.002090566569030068,0.5,False
centered_1s,14,Ob14.txt,all_tangential,early_pre,47,-0.10861917767226588,0.03027647554251401,0.07162662659268983,-0.1388956532147799,0.03699255107957605,0.35,True
centered_1s,14,Ob14.txt,all_tangential,near_pre,47,-0.25090351927282195,-0.029499986509921805,0.08423298448479644,-0.22140353276290015,0.16667053478802552,0.0,True
centered_1s,14,Ob14.txt,all_tangential,near_post,47,0.10904982583070455,-0.004139086620633911,0.06485027250283627,0.11318891245133846,0.04419955332786828,0.3,True
centered_1s,14,Ob14.txt,all_tangential,late_post,47,0.13013645813547078,-0.015083891110755754,0.06647066649553364,0.14522034924622654,0.06366579163993714,0.075,True
centered_1s,15,Ob15.txt,all_tangential,early_pre,96,-0.18265358928049932,0.004537120387190691,0.06225950015114097,-0.18719070966769003,0.12039408912935835,0.0,True
centered_1s,15,Ob15.txt,all_tangential,near_pre,96,-0.2661524914556036,0.035279037800187416,0.05422181550822024,-0.30143152925579103,0.21193067594738335,0.0,True
centered_1s,15,Ob15.txt,all_tangential,near_post,96,0.1921712960522351,-0.013937203965357484,0.06657051935363373,0.20610850001759257,0.12560077669860137,0.0,True
centered_1s,15,Ob15.txt,all_tangential,late_post,96,0.06285686385158681,-0.004298252816963961,0.06474433732319418,0.06715511666855077,-0.001887473471607365,0.525,False
centered_1s,16,Ob16.txt,all_tangential,early_pre,84,-0.14388716959471173,-0.009081686257886858,0.0548487422883938,-0.13480548333682488,0.08903842730631793,0.1,True
centered_1s,16,Ob16.txt,all_tangential,near_pre,84,-0.2112079572638143,-0.001540540930262027,0.05365299433108056,-0.2096674163335523,0.15755496293273374,0.0,True
centered_1s,16,Ob16.txt,all_tangential,near_post,84,0.16152523343245948,0.01178934918172534,0.04417429664067292,0.14973588425073414,0.11735093679178656,0.025,True
centered_1s,16,Ob16.txt,all_tangential,late_post,84,0.03404211301377926,-0.02085901232175458,0.055148108491707586,0.054901125335533846,-0.021105995477928324,0.725,False
centered_1s,17,Ob17.txt,all_tangential,early_pre,122,-0.11291209373988015,-0.006074753010382382,0.04223693740236909,-0.10683734072949777,0.07067515633751106,0.175,True
centered_1s,17,Ob17.txt,all_tangential,near_pre,122,-0.0676643825638592,0.022798522732555504,0.06290566687823805,-0.09046290529641471,0.004758715685621154,0.45,False
centered_1s,17,Ob17.txt,all_tangential,near_post,122,0.19922300794975537,0.010912813947097418,0.037875720380542585,0.18831019400265794,0.1613472875692128,0.0,True
centered_1s,17,Ob17.txt,all_tangential,late_post,122,-0.091434598390304,-0.010390438265979192,0.07342780798606023,-0.0810441601243248,0.018006790404243772,0.45,False
centered_1s,18,Ob18.txt,all_tangential,early_pre,103,-0.07270551334375608,-0.013099991984762069,0.049088241469112025,-0.05960552135899401,0.023617271874644054,0.375,False
centered_1s,18,Ob18.txt,all_tangential,near_pre,103,-0.0991478094028445,0.01164473929953573,0.05532776476146302,-0.11079254870238023,0.04382004464138148,0.25,True
centered_1s,18,Ob18.txt,all_tangential,near_post,103,0.15686597210634956,-0.0012931509729038919,0.06010305114986343,0.15815912307925345,0.09676292095648613,0.05,True
centered_1s,18,Ob18.txt,all_tangential,late_post,103,0.03267139024916957,0.014052729849830348,0.07246257778135005,0.01861866039933922,-0.039791187532180486,0.75,False
centered_1s,19,Ob19.txt,all_tangential,early_pre,143,-0.13659721722253232,0.0013969141065497993,0.05399390578238489,-0.13799413132908211,0.08260331144014743,0.05,True
centered_1s,19,Ob19.txt,all_tangential,near_pre,143,-0.20970243093001953,-0.013724868931631442,0.04794458351571307,-0.1959775619983881,0.16175784741430646,0.0,True
centered_1s,19,Ob19.txt,all_tangential,near_post,143,0.15292758158000602,0.017099624135306222,0.04228012779283065,0.1358279574446998,0.11064745378717537,0.0,True
centered_1s,19,Ob19.txt,all_tangential,late_post,143,0.13350375240346338,0.019900902461032162,0.03937154840489225,0.11360284994243122,0.09413220399857113,0.0,True
past_1s,2,Ob2.txt,all_tangential,early_pre,43,0.018840903225975945,-0.04448210798562982,0.08407119777578048,0.06332301121160577,-0.06523029454980453,0.925,False
past_1s,2,Ob2.txt,all_tangential,near_pre,43,-0.08827243601207396,-0.0033210947512639227,0.0685637597051503,-0.08495134126081004,0.01970867630692366,0.45,False
past_1s,2,Ob2.txt,all_tangential,near_post,43,0.1998042275412584,0.0076134143090194235,0.08470538565183693,0.19219081323223897,0.11509884188942147,0.05,True
past_1s,2,Ob2.txt,all_tangential,late_post,43,0.27085030707390273,0.0684478556698232,0.09535138502055254,0.20240245140407953,0.1754989220533502,0.05,True
past_1s,5,Ob5.txt,all_tangential,early_pre,93,-0.1882959518836903,-0.01577241033979731,0.06289897748927514,-0.172523541543893,0.12539697439441516,0.1,True
past_1s,5,Ob5.txt,all_tangential,near_pre,93,-0.05359313292697426,-0.025830171863263238,0.09647422707258063,-0.027762961063711025,-0.04288109414560637,0.85,False
past_1s,5,Ob5.txt,all_tangential,near_post,93,0.17250443277450042,-0.028382473845296966,0.07426643359833382,0.20088690661979738,0.0982379991761666,0.075,True
past_1s,5,Ob5.txt,all_tangential,late_post,93,0.04196206851683071,0.02184665646392587,0.06056454851169295,0.02011541205290484,-0.01860247999486224,0.675,False
past_1s,7,Ob7.txt,all_tangential,early_pre,33,-0.17848645058889723,-0.023474670635374777,0.15191003760614158,-0.15501177995352244,0.02657641298275565,0.4,False
past_1s,7,Ob7.txt,all_tangential,near_pre,33,-0.09422264554748667,0.04488528170397588,0.09441286721613527,-0.13910792725146254,-0.00019022166864859913,0.5,False
past_1s,7,Ob7.txt,all_tangential,near_post,33,0.18345508319812887,0.03129480878076685,0.09818232902103288,0.15216027441736202,0.08527275417709598,0.125,True
past_1s,7,Ob7.txt,all_tangential,late_post,33,0.03472957826117964,0.01343800236037834,0.07516984140098243,0.021291575900801298,-0.04044026313980279,0.775,False
past_1s,9,Ob9.txt,all_tangential,early_pre,37,-0.22301524975071996,0.025789200436655876,0.07337071282197392,-0.24880445018737585,0.14964453692874602,0.15,True
past_1s,9,Ob9.txt,all_tangential,near_pre,37,-0.20289563029412966,0.05372297687868293,0.0897135733277895,-0.2566186071728126,0.11318205696634016,0.15,True
