replicate,ob,dataset,n_events,b3_event_direction_abs_z,k8_local_event_direction_abs_z,k8_local_non_event_direction_abs_median_z,k8_local_event_minus_non_event_direction_z,k8_p_non_event_direction_ge_event,k8_local_to_b3_direction_ratio,k8_pass,k10_local_event_direction_abs_z,k10_local_non_event_direction_abs_median_z,k10_local_event_minus_non_event_direction_z,k10_p_non_event_direction_ge_event,k10_local_to_b3_direction_ratio,k10_pass,both_pass,any_pass
1,1,Ob1.txt,28,0.0366401751858747,0.0873284112190816,0.3651566582365163,-0.2778282470174346,1.0,2.383405941048775,False,0.5169855219088795,0.4215798297329662,0.0954056921759132,0.25,14.109799401510084,True,False,True
1,2,Ob2.txt,43,0.2200078595910657,0.648070379590979,0.2595318701616182,0.3885385094293607,0.0,2.9456692174341588,True,0.4516117033451921,0.4701763274017463,-0.0185646240565542,0.5,2.052707135938753,False,False,True
1,3,Ob3.txt,40,0.4000575993716098,0.2602557763937391,0.2831983587725549,-0.0229425823788157,0.5,0.6505457634164072,False,0.3854312421089773,0.1241243147007307,0.2613069274082465,0.25,0.9634393715164844,True,False,True
1,4,Ob4.txt,58,0.4462576318961197,0.0006946797603852,0.1495938996996378,-0.1488992199392526,1.0,0.0015566787226328,False,0.1413758435260867,0.1279120859659194,0.0134637575601672,0.25,0.3168031948840627,False,False,False
1,5,Ob5.txt,93,0.2441540102352923,0.3468385267698988,0.2095787573897883,0.1372597693801104,0.25,1.420572721437788,True,0.4279941879684157,0.1943085840482622,0.2336856039201534,0.0,1.7529680858240082,True,True,True
1,6,Ob6.txt,112,0.1526669508364691,0.1920149980227023,0.3676920627904773,-0.1756770647677749,1.0,1.2577378205999623,False,0.2081100594071847,0.1668926035674154,0.0412174558397692,0.5,1.3631637906366785,False,False,False
1,7,Ob7.txt,33,0.5043876165159963,0.106224504525332,0.4058452466477036,-0.2996207421223716,0.75,0.2106009367538926,False,0.306586871162629,0.3865987033642195,-0.0800118322015905,0.75,0.6078398063781684,False,False,False
1,8,Ob8.txt,84,0.0051583958901235,0.0348780579786286,0.2180176062640256,-0.183139548285397,1.0,6.761415510082751,False,0.2341072383643365,0.221430404352093,0.0126768340122434,0.25,45.38372845957128,False,False,False
1,9,Ob9.txt,37,0.139382456625724,0.4205969714639678,0.4407827577220747,-0.0201857862581068,0.5,3.017574676513081,False,0.0610616595272708,0.2919200337934612,-0.2308583742661903,1.0,0.4380871237707938,False,False,False
1,10,Ob10.txt,36,0.2031941096352815,0.0755512229815827,0.2140845493844778,-0.138533326402895,0.75,0.3718179779777655,False,0.3005122104851281,0.2439738420488424,0.0565383684362856,0.5,1.478941545227494,False,False,False
1,11,Ob11.txt,119,0.0229781298233056,0.1147067062777552,0.206509346599876,-0.0918026403221208,0.75,4.991994873377981,False,0.3023985943538152,0.0967796200590389,0.2056189742947763,0.0,13.160278781570248,True,False,True
