ob,sensitivity_family,sensitivity_id,k,lag_sec,prepost_sec,min_run_sec,n_events,source,b3_event_direction_abs_z,local_event_direction_abs_z,local_non_event_direction_abs_median_z,local_event_minus_non_event_direction_z,p_non_event_direction_ge_event,local_to_b3_direction_ratio,event_conditioned_local_gate,geometry_ladder_reading
3,state_definition,state_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,40,cached_4081c,0.3002659313051579,0.1207086288909481,0.3603277713240423,-0.2396191424330942,0.925,0.4020057432632039,False,local_nonaffine_not_event_conditioned
3,state_definition,state_k8_lag0p100_window0p200_minrun0p250,8,0.1,0.2,0.25,30,computed_4087,0.3002659313051579,0.07479518221215992,0.40456858379489913,-0.3297734015827392,0.875,0.24909646554655634,False,local_affine_largely_absorbs_b3_signal
3,window,window_k8_lag0p100_window0p150_minrun0p200,8,0.1,0.15,0.2,40,computed_4087,0.3002659313051579,0.15640131772985721,0.2750626011071653,-0.11866128337730808,0.7,0.5208760016497103,False,local_nonaffine_not_event_conditioned
3,window,window_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,40,cached_4081c,0.3002659313051579,0.1207086288909481,0.3603277713240423,-0.2396191424330942,0.925,0.4020057432632039,False,local_nonaffine_not_event_conditioned
3,window,window_k8_lag0p100_window0p300_minrun0p200,8,0.1,0.3,0.2,40,computed_4087,0.3002659313051579,0.1123334353789553,0.23034963492643917,-0.11801619954748388,0.75,0.37411315659648287,False,local_nonaffine_not_event_conditioned
6,baseline,baseline_k10_lag0p100_window0p200_minrun0p200,10,0.1,0.2,0.2,112,cached_4081c,0.0013388578272377,0.030275464385519,0.1648295218486896,-0.1345540574631706,0.875,22.612904648720342,False,local_nonaffine_not_event_conditioned
6,baseline,baseline_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,112,cached_4081c,0.0013388578272377,0.069478103789623,0.1946819167116118,-0.1252038129219888,0.875,51.89356358543954,False,local_nonaffine_not_event_conditioned
6,scale_timing,scale_k10_lag0p100_window0p200_minrun0p200,10,0.1,0.2,0.2,112,cached_4081c,0.0013388578272377,0.030275464385519,0.1648295218486896,-0.1345540574631706,0.875,22.612904648720342,False,local_nonaffine_not_event_conditioned
6,scale_timing,scale_k12_lag0p100_window0p200_minrun0p200,12,0.1,0.2,0.2,112,computed_4087,0.0013388578272377,0.15546786851890892,0.1259288517038362,0.029539016815072733,0.475,116.11977415082718,False,inconclusive
6,scale_timing,scale_k6_lag0p100_window0p200_minrun0p200,6,0.1,0.2,0.2,112,computed_4087,0.0013388578272377,0.03039288271622781,0.2656811279744812,-0.23528824525825337,0.975,22.700605021620326,False,local_nonaffine_not_event_conditioned
6,scale_timing,scale_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,112,cached_4081c,0.0013388578272377,0.069478103789623,0.1946819167116118,-0.1252038129219888,0.875,51.89356358543954,False,local_nonaffine_not_event_conditioned
6,scale_timing,timing_k8_lag0p050_window0p200_minrun0p200,8,0.05,0.2,0.2,112,computed_4087,0.0013388578272377,0.13016072547957974,0.20713293504492752,-0.07697220956534778,0.675,97.2177350212937,False,local_nonaffine_not_event_conditioned
6,scale_timing,timing_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,112,cached_4081c,0.0013388578272377,0.069478103789623,0.1946819167116118,-0.1252038129219888,0.875,51.89356358543954,False,local_nonaffine_not_event_conditioned
6,scale_timing,timing_k8_lag0p150_window0p200_minrun0p200,8,0.15,0.2,0.2,112,computed_4087,0.0013388578272377,0.07821089655365271,0.1660637657960743,-0.08785286924242158,0.75,58.4161327383174,False,local_nonaffine_not_event_conditioned
6,state_definition,state_k8_lag0p100_window0p200_minrun0p150,8,0.1,0.2,0.15,135,computed_4087,0.0013388578272377,0.08908319064693407,0.2054610527143001,-0.11637786206736603,0.825,66.53670676200805,False,local_nonaffine_not_event_conditioned
6,state_definition,state_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,112,cached_4081c,0.0013388578272377,0.069478103789623,0.1946819167116118,-0.1252038129219888,0.875,51.89356358543954,False,local_nonaffine_not_event_conditioned
6,state_definition,state_k8_lag0p100_window0p200_minrun0p250,8,0.1,0.2,0.25,100,computed_4087,0.0013388578272377,0.11348738552287185,0.24079211861932315,-0.1273047330964513,0.775,84.76432912747455,False,local_nonaffine_not_event_conditioned
6,window,window_k8_lag0p100_window0p150_minrun0p200,8,0.1,0.15,0.2,112,computed_4087,0.0013388578272377,0.07337321764814375,0.137149645549695,-0.06377642790155125,0.775,54.8028447497862,False,local_nonaffine_not_event_conditioned
6,window,window_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,112,cached_4081c,0.0013388578272377,0.069478103789623,0.1946819167116118,-0.1252038129219888,0.875,51.89356358543954,False,local_nonaffine_not_event_conditioned
6,window,window_k8_lag0p100_window0p300_minrun0p200,8,0.1,0.3,0.2,112,computed_4087,0.0013388578272377,0.023433203013349738,0.1758251271346737,-0.15239192412132396,0.95,17.5023834021993,False,local_nonaffine_not_event_conditioned
8,baseline,baseline_k10_lag0p100_window0p200_minrun0p200,10,0.1,0.2,0.2,84,cached_4081c,0.0939542440068157,0.0109538175682767,0.1971190910355867,-0.18616527346731,0.925,0.11658672457076107,False,local_affine_largely_absorbs_b3_signal
8,baseline,baseline_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,84,cached_4081c,0.0939542440068157,0.290681233323688,0.2870773683621533,0.0036038649615346974,0.5,3.0938595312692976,False,inconclusive
8,scale_timing,scale_k10_lag0p100_window0p200_minrun0p200,10,0.1,0.2,0.2,84,cached_4081c,0.0939542440068157,0.0109538175682767,0.1971190910355867,-0.18616527346731,0.925,0.11658672457076107,False,local_affine_largely_absorbs_b3_signal
8,scale_timing,scale_k12_lag0p100_window0p200_minrun0p200,12,0.1,0.2,0.2,84,computed_4087,0.0939542440068157,0.04133855737128145,0.15607005399454782,-0.11473149662326637,0.9,0.43998605713098643,False,local_nonaffine_not_event_conditioned
8,scale_timing,scale_k6_lag0p100_window0p200_minrun0p200,6,0.1,0.2,0.2,84,computed_4087,0.0939542440068157,0.20320165813938224,0.2183000009285333,-0.015098342789151065,0.525,2.16277253132537,False,local_nonaffine_not_event_conditioned
8,scale_timing,scale_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,84,cached_4081c,0.0939542440068157,0.290681233323688,0.2870773683621533,0.0036038649615346974,0.5,3.0938595312692976,False,inconclusive
8,scale_timing,timing_k8_lag0p050_window0p200_minrun0p200,8,0.05,0.2,0.2,84,computed_4087,0.0939542440068157,0.2922798185441411,0.31969630470356114,-0.02741648615942005,0.5,3.11087403910076,False,local_nonaffine_not_event_conditioned
8,scale_timing,timing_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,84,cached_4081c,0.0939542440068157,0.290681233323688,0.2870773683621533,0.0036038649615346974,0.5,3.0938595312692976,False,inconclusive
8,scale_timing,timing_k8_lag0p150_window0p200_minrun0p200,8,0.15,0.2,0.2,84,computed_4087,0.0939542440068157,0.10940418891247253,0.2626391613442222,-0.1532349724317497,0.9,1.1644411603645712,False,local_nonaffine_not_event_conditioned
8,state_definition,state_k8_lag0p100_window0p200_minrun0p150,8,0.1,0.2,0.15,107,computed_4087,0.0939542440068157,0.25419145769691387,0.20252427604145795,0.05166718165545592,0.375,2.705481379622129,False,inconclusive
8,state_definition,state_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,84,cached_4081c,0.0939542440068157,0.290681233323688,0.2870773683621533,0.0036038649615346974,0.5,3.0938595312692976,False,inconclusive
8,state_definition,state_k8_lag0p100_window0p200_minrun0p250,8,0.1,0.2,0.25,66,computed_4087,0.0939542440068157,0.2912496251263208,0.27624956879727625,0.015000056329044553,0.475,3.0999091973449624,False,inconclusive
8,window,window_k8_lag0p100_window0p150_minrun0p200,8,0.1,0.15,0.2,84,computed_4087,0.0939542440068157,0.20809005570846376,0.1642641221468431,0.04382593356162065,0.4,2.214802086996393,False,inconclusive
8,window,window_k8_lag0p100_window0p200_minrun0p200,8,0.1,0.2,0.2,84,cached_4081c,0.0939542440068157,0.290681233323688,0.2870773683621533,0.0036038649615346974,0.5,3.0938595312692976,False,inconclusive
8,window,window_k8_lag0p100_window0p300_minrun0p200,8,0.1,0.3,0.2,84,computed_4087,0.0939542440068157,0.09978094322788955,0.3126939033879633,-0.21291296016007377,0.8,1.0620163493694992,False,local_nonaffine_not_event_conditioned
