replicate,ob,dataset,n_events,b3_event_direction_abs_z,k8_local_event_direction_abs_z,k8_local_non_event_direction_abs_median_z,k8_local_event_minus_non_event_direction_z,k8_p_non_event_direction_ge_event,k8_local_to_b3_direction_ratio,k8_pass,k10_local_event_direction_abs_z,k10_local_non_event_direction_abs_median_z,k10_local_event_minus_non_event_direction_z,k10_p_non_event_direction_ge_event,k10_local_to_b3_direction_ratio,k10_pass,both_pass,any_pass
1,1,Ob1.txt,28,0.47376175185234576,0.41604731402627093,0.22400604828879142,0.1920412657374795,0.15,0.8781783510373747,True,0.20408954951749,0.20198591023198936,0.0021036392855006414,0.5,0.4307851968199773,False,False,True
1,2,Ob2.txt,43,0.5246847408724428,0.01477986381202584,0.22181436076781072,-0.20703449695578488,0.925,0.02816903687240831,False,0.08877438747302796,0.28821384102754743,-0.19943945355451947,0.8,0.16919567229154486,False,False,False
1,3,Ob3.txt,40,0.1822259952672995,0.48625021562776266,0.26511305498471904,0.22113716064304362,0.175,2.6683910542757805,True,0.6525499983169968,0.24006609108031499,0.4124839072366818,0.175,3.5809929168437202,True,True,True
1,4,Ob4.txt,58,0.30317969058238786,0.13837693955248542,0.26233695205569096,-0.12396001250320554,0.725,0.4564188956281095,False,0.30726148252219254,0.24246386353111576,0.06479761899107678,0.4,1.0134632762899252,False,False,False
1,5,Ob5.txt,93,0.08108287735111819,0.15499661913970658,0.1943057839154876,-0.03930916477578103,0.575,1.911582620193844,False,0.07008126308971657,0.21195529488894027,-0.1418740317992237,0.9,0.8643164300427987,False,False,False
1,6,Ob6.txt,112,0.272971652148194,0.18636688897438072,0.1655147469483378,0.020852142026042936,0.45,0.682733490850558,False,0.023431097896410263,0.13043755527363282,-0.10700645737722256,0.875,0.0858371106011027,False,False,False
1,7,Ob7.txt,33,0.11414878035540155,0.13064802007489235,0.186688375573913,-0.056040355499020644,0.65,1.1445415331475335,False,0.29073554077362074,0.31071121824958753,-0.01997567747596679,0.525,2.5469877108490984,False,False,False
1,8,Ob8.txt,84,0.21992309669066326,0.11401751001846677,0.1362607381123082,-0.02224322809384144,0.55,0.5184426362404315,False,0.45375218000989026,0.20293515693225916,0.2508170230776311,0.175,2.063231133236194,True,False,True
1,9,Ob9.txt,37,0.11166851892396173,0.07569634880676875,0.21445699239133284,-0.13876064358456408,0.8,0.6778665064798839,False,0.23020683621200788,0.2173523328891461,0.012854503322861782,0.475,2.0615195619166604,False,False,False
1,10,Ob10.txt,36,0.09091345202703993,0.5312057542915449,0.2738412822827153,0.2573644720088296,0.175,5.842982995888783,True,0.1322139926565601,0.23392695563238775,-0.10171296297582766,0.675,1.4542841538701703,False,False,True
1,11,Ob11.txt,119,0.136877790049257,0.21165723795265207,0.23250019159059376,-0.020842953637941697,0.55,1.5463227297612334,False,0.38833777426718763,0.2366873468615426,0.15165042740564502,0.25,2.8371131220590278,True,False,True
1,12,Ob12.txt,91,0.0071077858140390915,0.32419927446131813,0.23033610024435303,0.0938631742169651,0.3,45.61185198081928,True,0.17501398366123022,0.3076917518787147,-0.1326777682174845,0.725,24.622855589647582,False,False,True
1,13,Ob13.txt,102,0.03452111884099823,0.04211007067711518,0.15731853995887035,-0.11520846928175517,0.875,1.2198350485414773,False,0.027450479734010547,0.16634807870269497,-0.13889759896868442,0.9,0.7951793179255129,False,False,False
1,14,Ob14.txt,47,0.38658506726814135,0.6913967008514127,0.23682675664694747,0.4545699442044652,0.075,1.788472342548734,True,0.0920254064015799,0.23299222672988498,-0.1409668203283051,0.775,0.2380469764439961,False,False,True
1,15,Ob15.txt,96,0.20370591248465092,0.10590256749255628,0.14453424964858008,-0.038631682156023806,0.7,0.5198796942162194,False,0.15533978885330893,0.180160865821526,-0.02482107696821706,0.55,0.7625688766643612,False,False,False
1,16,Ob16.txt,84,0.5036910746851198,0.25492432875494186,0.20854008704962765,0.046384241705314216,0.35,0.5061124597339881,True,0.0015273013784350628,0.20942614733327053,-0.20789884595483546,1.0,0.003032218467221895,False,False,True
1,17,Ob17.txt,122,0.1067287280635229,0.172037989695938,0.14390119404828527,0.02813679564765273,0.425,1.6119182980756996,False,0.14379729802402239,0.15155347315749748,-0.007756175133475096,0.55,1.3473157661771906,False,False,False
1,18,Ob18.txt,103,0.3083322535640735,0.02165028624554012,0.0,0.02165028624554012,0.05,0.07021739047822659,False,0.04791766791672969,0.0,0.04791766791672969,0.05,0.1554091969388213,False,False,False
1,19,Ob19.txt,143,0.08902415645057465,0.14806695351853177,0.29872432470894433,-0.15065737119041256,0.75,1.663222201950738,False,0.08750256210772231,0.17126032461963284,-0.08375776251191053,0.75,0.9829080734542301,False,False,False
2,1,Ob1.txt,28,0.29832733017642066,0.5005666211628305,0.24249571048930765,0.25807091067352284,0.25,1.6779107058907823,True,0.05737005597664388,0.24920726642091678,-0.1918372104442729,0.925,0.1923057332451478,False,False,True
2,2,Ob2.txt,43,0.1994800921113449,0.09181668682258912,0.1994330198099914,-0.10761633298740228,0.75,0.46027994999791405,False,0.1626345827634151,0.25792603617268983,-0.09529145340927472,0.675,0.8152922983043164,False,False,False
2,3,Ob3.txt,40,0.8150432364901328,0.4212086325115975,0.22134707920385496,0.19986155330774255,0.15,0.5167929916521635,True,0.4718237914312551,0.2799090261542211,0.191914765277034,0.175,0.5788941865993475,True,True,True
2,4,Ob4.txt,58,1.0997191735033125,0.6301136412842376,0.21463249155336694,0.4154811497308707,0.125,0.5729768621537448,True,0.5969014517315573,0.15425884326139175,0.44264260847016557,0.05,0.5427762524409231,True,True,True
2,5,Ob5.txt,93,0.23488570943047415,0.10000359563621278,0.2380195371440183,-0.13801594150780552,0.875,0.4257542780218126,False,0.09604301249820207,0.22509155671044118,-0.1290485442122391,0.8,0.4088925321641616,False,False,False
2,6,Ob6.txt,112,0.3942674041333482,0.5793561966803625,0.22888350879041128,0.35047268788995123,0.025,1.4694498977257933,True,0.5856642346074403,0.19889113630548755,0.3867730983019528,0.0,1.4854492876346388,True,True,True
2,7,Ob7.txt,33,0.6132904441931166,0.08334235828253672,0.36903318643508637,-0.28569082815254965,0.9,0.13589378258157464,False,0.0260316503147493,0.4361271822360425,-0.4100955319212932,1.0,0.04244587627481816,False,False,False
2,8,Ob8.txt,84,0.44130582348791547,0.10845872598069703,0.16521901311044818,-0.05676028712975115,0.625,0.245767719817246,False,0.09966819058586102,0.1916574131246282,-0.09198922253876718,0.675,0.22584834661396733,False,False,False
2,9,Ob9.txt,37,0.3160828795116362,0.1160008747868044,0.21391174767345306,-0.09791087288664865,0.8,0.36699512155176367,False,0.25837133951477254,0.18324640315451257,0.07512493636025996,0.325,0.8174164317724805,True,False,True
2,10,Ob10.txt,36,0.05549114187324142,0.12602003545231355,0.31040205619038663,-0.18438202073807308,0.725,2.2709937333814736,False,0.22912420921256194,0.3232400089008281,-0.09411579968826617,0.625,4.129023146360027,False,False,False
2,11,Ob11.txt,119,0.26765462303053356,0.2331069456847847,0.19401822684425446,0.03908871884053025,0.4,0.8709244138786734,False,0.4597036788093354,0.1852038552941601,0.27449982351517527,0.075,1.7175256440718873,True,False,True
2,12,Ob12.txt,91,0.14290536139114315,0.3183533261736879,0.14652663488584303,0.17182669128784486,0.175,2.2277213610084923,True,0.1871998245913243,0.17188718236251682,0.015312642228807488,0.425,1.3099566228235744,False,False,True
2,13,Ob13.txt,102,0.14951888527948046,0.033626007283599296,0.254501618521105,-0.22087561123750568,0.85,0.2248947162811281,False,0.2281822085378311,0.20809625815285704,0.02008595038497407,0.4,1.5261096155934637,False,False,False
2,14,Ob14.txt,47,0.1666544592020037,0.046065418916937606,0.23483547555552875,-0.18877005663859114,0.95,0.27641275929557463,False,0.197592365616779,0.21613382113423502,-0.018541455517456007,0.6,1.1856410357269538,False,False,False
2,15,Ob15.txt,96,0.1740578601700674,0.38475807650542665,0.13156384057667841,0.25319423592874823,0.15,2.2105182502501726,True,0.35779068550347737,0.163706463645317,0.19408422185816038,0.3,2.0555847644794056,True,True,True
2,16,Ob16.txt,84,0.1475827206360198,0.4962288527185491,0.28118604345840276,0.21504280926014635,0.15,3.3623777267420625,True,0.2872799974555183,0.2529112934819199,0.034368703973598425,0.45,1.9465693288310562,False,False,True
2,17,Ob17.txt,122,0.3074095712348606,0.1647340008890434,0.14950932750814888,0.015224673380894532,0.45,0.5358779176175579,False,0.33664211509620345,0.1590263787509171,0.17761573634528635,0.2,1.0950931480237132,True,False,True
2,18,Ob18.txt,103,0.018877288028742473,0.04402096620881263,0.004132678568256498,0.03988828764055613,0.325,2.331953940724245,True,0.063155927123168,0.033651497433224375,0.02950442968994363,0.275,3.3456038296924366,False,False,True
2,19,Ob19.txt,143,0.1610173843907805,0.14281521805036645,0.13096276265362433,0.011852455396742123,0.475,0.8869552725049963,False,0.02690405181807798,0.24063990611832722,-0.21373585430024925,0.875,0.16708787016924395,False,False,False
3,1,Ob1.txt,28,0.05930663949274026,0.10656961934337073,0.17526272096183196,-0.06869310161846123,0.75,1.7969256099296596,False,0.21447836487049202,0.2242264402353972,-0.009748075364905184,0.55,3.6164309208035026,False,False,False
3,2,Ob2.txt,43,0.7017954662268285,0.31479212305096727,0.208922136977437,0.10586998607353026,0.275,0.4485525173644008,True,0.16430434956846343,0.17892251727120762,-0.014618167702744184,0.575,0.23411999289741542,False,False,True
3,3,Ob3.txt,40,1.2912209185229437,0.11036502274927379,0.1821465629861036,-0.07178154023682981,0.7,0.08547338504670664,False,0.20788515665162796,0.23576953182856558,-0.02788437517693762,0.6,0.16099890705723108,False,False,False
