replicate,n_both,n_any,n_obs_tested,n_obs_with_valid_b3,n_obs_with_valid_k8,n_obs_with_valid_k10
1,1,7,19,19,19,19
2,4,10,19,19,19,19
3,3,10,19,19,19,19
4,4,13,19,19,19,19
5,5,12,19,19,19,19
6,5,12,19,19,19,19
7,4,9,19,19,19,19
8,5,9,19,19,19,19
