chunk,rep_start,rep_end,status,complete,elapsed_sec
chunk_0001_0002,1,2,complete,True,15.91759443283081
chunk_0003_0004,3,4,complete,True,15.34115481376648
chunk_0005_0006,5,6,complete,True,15.849153757095337
chunk_0007_0008,7,8,complete,True,15.691903829574585
