replicate,n_both,n_any,n_obs_tested,n_obs_with_valid_b3,n_obs_with_valid_k8,n_obs_with_valid_k10
225,6,13,19,19,19,19
226,3,13,19,19,19,19
227,6,10,19,19,19,19
228,5,11,19,19,19,19
229,6,9,19,19,19,19
230,4,11,19,19,19,19
231,3,10,19,19,19,19
232,4,15,19,19,19,19
233,5,9,19,19,19,19
234,1,10,19,19,19,19
235,4,11,19,19,19,19
236,6,11,19,19,19,19
237,2,11,19,19,19,19
238,2,7,19,19,19,19
239,5,10,19,19,19,19
240,1,8,19,19,19,19
241,3,8,19,19,19,19
242,2,12,19,19,19,19
243,2,5,19,19,19,19
244,6,10,19,19,19,19
245,2,5,19,19,19,19
246,4,8,19,19,19,19
247,4,12,19,19,19,19
248,4,12,19,19,19,19
249,1,7,19,19,19,19
250,8,12,19,19,19,19
251,4,13,19,19,19,19
252,6,14,19,19,19,19
253,5,13,19,19,19,19
254,3,8,19,19,19,19
255,3,9,19,19,19,19
256,7,14,19,19,19,19
257,7,12,19,19,19,19
258,6,10,19,19,19,19
259,5,7,19,19,19,19
260,3,14,19,19,19,19
261,6,12,19,19,19,19
262,5,10,19,19,19,19
263,9,13,19,19,19,19
264,7,10,19,19,19,19
265,2,7,19,19,19,19
266,3,8,19,19,19,19
267,2,7,19,19,19,19
268,7,13,19,19,19,19
269,5,11,19,19,19,19
270,0,7,19,19,19,19
271,8,15,19,19,19,19
272,3,11,19,19,19,19
273,6,9,19,19,19,19
274,1,8,19,19,19,19
275,3,12,19,19,19,19
276,3,8,19,19,19,19
277,3,9,19,19,19,19
278,4,8,19,19,19,19
279,4,8,19,19,19,19
280,5,14,19,19,19,19
281,5,10,19,19,19,19
282,4,11,19,19,19,19
283,6,11,19,19,19,19
284,6,14,19,19,19,19
285,4,10,19,19,19,19
286,7,14,19,19,19,19
287,4,7,19,19,19,19
288,4,10,19,19,19,19
289,3,11,19,19,19,19
290,2,9,19,19,19,19
291,4,9,19,19,19,19
292,2,13,19,19,19,19
293,4,12,19,19,19,19
294,5,13,19,19,19,19
295,2,7,19,19,19,19
296,7,12,19,19,19,19
297,9,11,19,19,19,19
298,6,12,19,19,19,19
299,6,11,19,19,19,19
300,6,12,19,19,19,19
301,4,9,19,19,19,19
302,3,10,19,19,19,19
303,6,12,19,19,19,19
304,3,7,19,19,19,19
305,5,9,19,19,19,19
306,3,12,19,19,19,19
307,3,9,19,19,19,19
308,8,12,19,19,19,19
309,5,11,19,19,19,19
310,4,11,19,19,19,19
311,9,15,19,19,19,19
312,3,9,19,19,19,19
313,2,8,19,19,19,19
314,5,8,19,19,19,19
315,2,9,19,19,19,19
316,4,13,19,19,19,19
317,5,13,19,19,19,19
318,4,10,19,19,19,19
319,6,10,19,19,19,19
320,2,8,19,19,19,19
321,5,10,19,19,19,19
322,5,9,19,19,19,19
323,9,9,19,19,19,19
324,4,11,19,19,19,19
325,8,11,19,19,19,19
326,4,10,19,19,19,19
327,3,11,19,19,19,19
328,2,11,19,19,19,19
329,6,12,19,19,19,19
330,1,11,19,19,19,19
331,0,7,19,19,19,19
332,6,16,19,19,19,19
333,5,7,19,19,19,19
334,4,6,19,19,19,19
335,4,11,19,19,19,19
336,8,13,19,19,19,19
337,4,8,19,19,19,19
338,4,10,19,19,19,19
339,4,10,19,19,19,19
340,5,10,19,19,19,19
341,6,11,19,19,19,19
342,5,10,19,19,19,19
343,6,10,19,19,19,19
344,2,11,19,19,19,19
345,4,10,19,19,19,19
