ob,dataset,t,n_focals,neighbor_slots,unique_neighbors,neighbor_overlap_ratio,max_memberships_per_neighbor,fraction_multimembership_neighbors
1,Ob1.txt,8.17,24,192,81,2.3703703703703702,6,0.7530864197530864
1,Ob1.txt,8.27,24,192,73,2.6301369863013697,6,0.7397260273972602
1,Ob1.txt,8.37,24,192,64,3.0,9,0.6875
1,Ob1.txt,8.47,24,192,69,2.782608695652174,7,0.8115942028985508
1,Ob1.txt,8.57,24,192,75,2.56,7,0.76
1,Ob1.txt,8.67,24,192,70,2.742857142857143,7,0.7714285714285715
1,Ob1.txt,8.77,24,192,79,2.430379746835443,8,0.7721518987341772
1,Ob1.txt,8.87,24,192,80,2.4,6,0.725
1,Ob1.txt,8.97,24,192,85,2.2588235294117647,5,0.6941176470588235
1,Ob1.txt,9.07,24,192,82,2.341463414634146,6,0.7195121951219512
1,Ob1.txt,9.17,24,192,83,2.3132530120481927,5,0.7349397590361446
1,Ob1.txt,9.27,24,192,76,2.526315789473684,8,0.7236842105263158
1,Ob1.txt,9.37,24,192,75,2.56,7,0.6933333333333334
1,Ob1.txt,9.47,24,192,85,2.2588235294117647,5,0.6705882352941176
1,Ob1.txt,9.57,24,192,81,2.3703703703703702,8,0.7037037037037037
1,Ob1.txt,9.67,24,192,87,2.206896551724138,5,0.7126436781609196
1,Ob1.txt,9.77,24,192,79,2.430379746835443,6,0.7468354430379747
1,Ob1.txt,9.87,24,192,88,2.1818181818181817,6,0.6590909090909091
1,Ob1.txt,9.97,24,192,85,2.2588235294117647,6,0.6588235294117647
1,Ob1.txt,10.07,24,192,84,2.2857142857142856,5,0.7142857142857143
1,Ob1.txt,10.17,24,192,72,2.6666666666666665,8,0.7638888888888888
1,Ob1.txt,10.27,24,192,75,2.56,7,0.76
1,Ob1.txt,10.37,24,192,73,2.6301369863013697,6,0.7534246575342466
1,Ob1.txt,10.47,24,192,79,2.430379746835443,6,0.6582278481012658
1,Ob1.txt,10.57,24,192,81,2.3703703703703702,5,0.7901234567901234
1,Ob1.txt,10.67,24,192,82,2.341463414634146,8,0.6097560975609756
1,Ob1.txt,10.77,24,192,81,2.3703703703703702,6,0.7160493827160493
1,Ob1.txt,10.87,24,192,89,2.157303370786517,5,0.6741573033707865
1,Ob1.txt,10.97,24,192,86,2.232558139534884,5,0.6976744186046512
1,Ob1.txt,11.07,24,192,83,2.3132530120481927,7,0.6626506024096386
1,Ob1.txt,11.17,24,192,76,2.526315789473684,6,0.7763157894736842
1,Ob1.txt,11.27,24,192,71,2.704225352112676,6,0.8028169014084507
1,Ob1.txt,11.37,24,192,69,2.782608695652174,7,0.782608695652174
1,Ob1.txt,11.47,24,192,86,2.232558139534884,6,0.6511627906976745
1,Ob1.txt,11.57,24,192,72,2.6666666666666665,7,0.7083333333333334
1,Ob1.txt,11.67,24,192,77,2.493506493506493,7,0.6883116883116883
1,Ob1.txt,11.77,24,192,76,2.526315789473684,6,0.75
1,Ob1.txt,11.87,24,192,84,2.2857142857142856,7,0.6904761904761905
1,Ob1.txt,11.97,24,192,79,2.430379746835443,6,0.6835443037974683
1,Ob1.txt,12.07,24,192,86,2.232558139534884,5,0.6976744186046512
1,Ob1.txt,12.17,24,192,77,2.493506493506493,7,0.6883116883116883
1,Ob1.txt,12.27,24,192,81,2.3703703703703702,7,0.6790123456790124
1,Ob1.txt,12.37,24,192,80,2.4,6,0.7
1,Ob1.txt,12.47,24,192,87,2.206896551724138,5,0.6551724137931034
1,Ob1.txt,12.57,24,192,83,2.3132530120481927,6,0.7349397590361446
1,Ob1.txt,12.67,24,192,79,2.430379746835443,5,0.7848101265822784
1,Ob1.txt,12.77,24,192,72,2.6666666666666665,7,0.6944444444444444
1,Ob1.txt,12.87,24,192,83,2.3132530120481927,5,0.7831325301204819
1,Ob1.txt,12.97,24,192,77,2.493506493506493,5,0.7662337662337663
1,Ob1.txt,13.07,24,192,78,2.4615384615384617,6,0.7435897435897436
1,Ob1.txt,13.17,24,192,85,2.2588235294117647,6,0.7058823529411765
1,Ob1.txt,13.27,24,192,82,2.341463414634146,6,0.6585365853658537
1,Ob1.txt,13.37,24,192,78,2.4615384615384617,8,0.6410256410256411
1,Ob1.txt,13.47,24,192,83,2.3132530120481927,6,0.7590361445783133
1,Ob1.txt,13.57,24,192,85,2.2588235294117647,5,0.6823529411764706
