n_any,count,fraction
2,1,0.001
4,4,0.004
5,9,0.009
6,23,0.023
7,62,0.062
8,103,0.103
9,172,0.172
10,182,0.182
11,161,0.161
12,135,0.135
13,92,0.092
14,35,0.035
15,18,0.018
16,2,0.002
17,1,0.001
