n_both,count,fraction
0,9,0.009
1,29,0.029
2,104,0.104
3,188,0.188
4,223,0.223
5,194,0.194
6,128,0.128
7,77,0.077
8,30,0.03
9,14,0.014
10,2,0.002
12,2,0.002
