metric,value
pdf_exists,true
pdf_bytes,415120
pdf_pages,11
latex_errors,0
undefined_control_sequence,0
citation_warnings,0
reference_warnings,0
rerun_warnings,0
overfull_boxes,0
underfull_boxes,16
