ob,variable,event_type,relative_time_sec,median_value_z,q25_value_z,q75_value_z,n_events
13,shell_edge_minus_core,high_to_low,-0.5,-0.3656227705580887,-0.9186186973836512,0.1609748453251346,50
13,shell_edge_minus_core,low_to_high,-0.5,0.20137729602171342,-0.43227630791049604,0.697204946923567,52
13,shell_edge_minus_core,high_to_low,-0.45,-0.15843376627691128,-0.8138430667479699,0.37295484352008657,50
13,shell_edge_minus_core,low_to_high,-0.45,-0.004231149644796248,-0.6016410648582251,0.5365483823680414,52
13,shell_edge_minus_core,high_to_low,-0.4,-0.08481081339984871,-0.5807589653472107,0.5403493290680511,50
13,shell_edge_minus_core,low_to_high,-0.4,0.07652365455444458,-0.7335169470028668,0.4296317974109474,52
13,shell_edge_minus_core,high_to_low,-0.35,0.0980583149019972,-0.5237977995276342,0.6289700438550305,50
13,shell_edge_minus_core,low_to_high,-0.35,-0.04398835542904215,-0.44809578473578277,0.5118506930586175,52
13,shell_edge_minus_core,high_to_low,-0.3,-0.15533404641373094,-0.9183787583716237,0.7124489306561385,50
13,shell_edge_minus_core,low_to_high,-0.3,0.0025610068998953017,-0.6818595232848593,0.5581556685938333,52
13,shell_edge_minus_core,high_to_low,-0.25,0.011172966837862543,-0.965590618760253,0.6475827294292358,50
13,shell_edge_minus_core,low_to_high,-0.25,-0.069880193088761,-0.5935117782269889,0.7003992397185796,52
13,shell_edge_minus_core,high_to_low,-0.2,0.004101622504360344,-0.7125250678156623,0.7278548646567753,50
13,shell_edge_minus_core,low_to_high,-0.2,-0.01684523976360955,-0.7818344146110734,0.8531964154014537,52
13,shell_edge_minus_core,high_to_low,-0.15,0.263544500191843,-0.25934671757528216,0.8285547155306379,50
13,shell_edge_minus_core,low_to_high,-0.15,0.04685369399189853,-0.6020921696145045,0.9221319114530554,52
13,shell_edge_minus_core,high_to_low,-0.1,0.47326510895040685,-0.2711716966067708,1.0090415098873275,50
13,shell_edge_minus_core,low_to_high,-0.1,0.12630036568959463,-0.7145760480885448,0.9918353973305455,52
13,shell_edge_minus_core,high_to_low,-0.05,0.17287709885255276,-0.3229581685947424,0.8735848801455087,50
13,shell_edge_minus_core,low_to_high,-0.05,0.16837834161052034,-0.5081879432741689,0.8819351533350385,52
13,shell_edge_minus_core,high_to_low,-0.0,0.37003902545631173,-0.3311285905392735,0.8620466930972204,50
13,shell_edge_minus_core,low_to_high,-0.0,-0.07983795191366651,-0.8646720852991516,0.45991652450024106,52
13,shell_edge_minus_core,high_to_low,0.05,0.1356532993839405,-0.6576654824269647,0.723015341419945,50
13,shell_edge_minus_core,low_to_high,0.05,-0.20186706445466526,-0.6728507307638298,0.674041362940372,52
13,shell_edge_minus_core,high_to_low,0.1,-0.0070878506611225245,-0.6920638815187361,0.3970204556040865,50
13,shell_edge_minus_core,low_to_high,0.1,-0.16839000589381142,-0.7945809204874084,0.7253039175773719,52
13,shell_edge_minus_core,high_to_low,0.15,-0.043029247545499846,-0.6879646757073459,0.47301323119778405,50
13,shell_edge_minus_core,low_to_high,0.15,-0.038293791216925055,-0.7136019935955606,0.5899978946344062,52
13,shell_edge_minus_core,high_to_low,0.2,-0.3578901687240743,-0.9328032380009008,0.2689807209712735,50
13,shell_edge_minus_core,low_to_high,0.2,-0.0130284412119018,-0.545285000799943,0.6512221151909716,52
13,shell_edge_minus_core,high_to_low,0.25,-0.2155399795758814,-0.9631094981274853,0.578771199421539,50
13,shell_edge_minus_core,low_to_high,0.25,-0.0668620552519953,-0.7385358969690982,0.4897600212605529,52
13,shell_edge_minus_core,high_to_low,0.3,-0.2751848842436045,-0.9041885244799026,0.6429091607188961,50
13,shell_edge_minus_core,low_to_high,0.3,-0.070951138407367,-0.9904820633427858,0.5181947015195467,52
13,shell_edge_minus_core,high_to_low,0.35,-0.03795646598915979,-0.9195279071587062,0.7013116874414702,50
13,shell_edge_minus_core,low_to_high,0.35,-0.10053713743829171,-0.942903893530185,0.5125287261106932,52
13,shell_edge_minus_core,high_to_low,0.4,0.0702283686005139,-0.6776653437113994,0.4955706894887425,50
13,shell_edge_minus_core,low_to_high,0.4,0.23896432257094458,-0.6210593613702451,0.7820701415096818,52
13,shell_edge_minus_core,high_to_low,0.45,0.01723351282368135,-0.8062132277588862,0.7637501734684435,50
13,shell_edge_minus_core,low_to_high,0.45,0.09624159618699343,-0.3169520001763503,0.6044057817618698,52
13,shell_edge_minus_core,high_to_low,0.5,0.0656923878900932,-0.6763683825421962,0.6645497141493427,50
13,shell_edge_minus_core,low_to_high,0.5,0.2765677420792435,-0.39817640876429056,1.0551056070878762,51
13,all_tangential,high_to_low,-0.5,0.06576944846897312,-0.5754718685797304,0.9019716203651509,50
13,all_tangential,low_to_high,-0.5,0.15611412159782845,-0.6056886659502609,0.664869068588338,52
13,all_tangential,high_to_low,-0.45,0.3391633200844704,-0.3259293743062809,0.7522981410152596,50
13,all_tangential,low_to_high,-0.45,0.012780725741614606,-0.618170944918085,0.6284745797877489,52
13,all_tangential,high_to_low,-0.4,0.10371785753379265,-0.5300155502993731,0.8096108923634288,50
13,all_tangential,low_to_high,-0.4,-0.1783118894997378,-0.7860339328507352,0.3794728790031184,52
13,all_tangential,high_to_low,-0.35,-0.08688439461101571,-0.501230884589613,0.5962064979561407,50
13,all_tangential,low_to_high,-0.35,-0.28034893915384584,-0.7700436664297465,0.5384861572821655,52
13,all_tangential,high_to_low,-0.3,0.3378852047963095,-0.18153030104100926,0.7661564433173761,50
13,all_tangential,low_to_high,-0.3,-0.22729670159155763,-0.8695789981693103,0.34788969883530485,52
13,all_tangential,high_to_low,-0.25,0.5739778673382674,-0.3771233129158675,0.9519504495357489,50
13,all_tangential,low_to_high,-0.25,-0.23895464520511267,-1.1032960195433614,0.16347848876999488,52
13,all_tangential,high_to_low,-0.2,0.24788857599911657,-0.44673887549457675,0.9459479363579163,50
13,all_tangential,low_to_high,-0.2,-0.45147195647982563,-0.8444818309160425,0.276043613882435,52
13,all_tangential,high_to_low,-0.15,-0.13987497158243525,-0.6504352529123659,0.7090795192820915,50
13,all_tangential,low_to_high,-0.15,-0.2600365769346618,-0.7697604677331241,0.3795348434974188,52
13,all_tangential,high_to_low,-0.1,-0.0287521276048053,-0.6315838098479621,0.663026300255336,50
13,all_tangential,low_to_high,-0.1,-0.05786120869894053,-0.7550147605374249,0.571239108712445,52
13,all_tangential,high_to_low,-0.05,-0.014907590309147761,-0.4679879397358502,0.5911299487092867,50
13,all_tangential,low_to_high,-0.05,-0.14481394134237865,-0.4540492398922635,0.9579550270333971,52
13,all_tangential,high_to_low,-0.0,-0.07587099915877504,-0.5739443965822699,0.44428451945300673,50
13,all_tangential,low_to_high,-0.0,0.15759921626410256,-0.42488930137727166,0.8239140330628502,52
