ob,variable,relative_time_sec,real_median_aligned_z,real_q25_aligned_z,real_q75_aligned_z,null_median_aligned_z,null_q25_aligned_z,null_q75_aligned_z,real_minus_null_aligned_z,n_events
13,shell_edge_minus_core,-0.5,0.24042909363156517,-0.29531748367138716,0.7611082442919405,-0.003092346799000243,-0.09555577545710088,0.04634123358056678,0.24352144043056542,102
13,shell_edge_minus_core,-0.45,0.12143681814055816,-0.48070340250327076,0.7190013005261727,-0.026062225686366444,-0.07971434148902264,0.054573331137623346,0.1474990438269246,102
13,shell_edge_minus_core,-0.4,0.08481081339984871,-0.7160120145531381,0.552650669401851,0.013639657753062577,-0.06228717188303929,0.051544969941850316,0.07117115564678614,102
13,shell_edge_minus_core,-0.35,-0.0956578185246873,-0.577374055178668,0.5130473584520386,-0.020386967942319034,-0.07356958031669047,0.041316228347128406,-0.07527085058236826,102
13,shell_edge_minus_core,-0.3,0.0890244570550913,-0.6849655530698588,0.7530085028521777,-0.013416517826456177,-0.08311391689023073,0.07357737328513056,0.10244097488154746,102
13,shell_edge_minus_core,-0.25,-0.06364718140914616,-0.6129742220980401,0.7418002361795359,0.006289970589688982,-0.07407181043261896,0.06920416612183868,-0.06993715199883514,102
13,shell_edge_minus_core,-0.2,-0.01684523976360955,-0.7763622715877587,0.7344048812126425,0.016043033726179566,-0.07486730744957422,0.07480552704167644,-0.032888273489789115,102
13,shell_edge_minus_core,-0.15,-0.20702735408611422,-0.7861676707982516,0.6309600204719555,-0.03437367293356208,-0.10280457379096786,0.03153242855304154,-0.17265368115255214,102
13,shell_edge_minus_core,-0.1,-0.17260587748862277,-0.8884354365475378,0.6709355481374146,0.005540646780326796,-0.05464237785108083,0.0722018323367902,-0.17814652426894956,102
13,shell_edge_minus_core,-0.05,-0.02034010228189069,-0.6729129537623728,0.6593039216721913,-0.0380569557254017,-0.08718084957215129,0.04731900068537609,0.01771685344351101,102
13,shell_edge_minus_core,-0.0,-0.1870594871723043,-0.8641422942477637,0.40826524622103477,-0.007311321892475495,-0.08514882210453616,0.058544731861385285,-0.17974816527982881,102
13,shell_edge_minus_core,0.05,-0.15407827791179582,-0.6975532119354316,0.6892009210462711,-0.04227218862846764,-0.10830537019660633,0.06366083451503661,-0.11180608928332818,102
13,shell_edge_minus_core,0.1,-0.06442624389781634,-0.7030243221663253,0.7060097893357473,-0.0034636060782216567,-0.12369991387742155,0.08782017894107479,-0.060962637819594684,102
13,shell_edge_minus_core,0.15,-0.024531540494616907,-0.5039372044060096,0.669340196031494,0.003428763360521482,-0.07369320014631177,0.057935667147121554,-0.02796030385513839,102
13,shell_edge_minus_core,0.2,0.13372573099880367,-0.42810490580757,0.8461314820510969,0.010557000342410184,-0.0691037785837251,0.06856332139331046,0.12316873065639349,102
13,shell_edge_minus_core,0.25,0.13763603543743652,-0.6680474387548354,0.8502428969725312,0.004425193862077308,-0.05770529629208998,0.08185256049221651,0.1332108415753592,102
13,shell_edge_minus_core,0.3,0.016657437276783135,-0.7205291374604835,0.6977017066279143,0.005913049051506178,-0.06601515169093126,0.07069636920531931,0.010744388225276957,102
13,shell_edge_minus_core,0.35,-0.06696481598906637,-0.7612108801055989,0.6812020786950548,0.02673641560191074,-0.06292366767375838,0.1332454488995231,-0.09370123159097711,102
13,shell_edge_minus_core,0.4,0.08260890056752772,-0.5573116574230744,0.6910574819161568,0.007664759734913438,-0.06805618954038588,0.10282466071705826,0.07494414083261428,102
13,shell_edge_minus_core,0.45,0.018173634829010642,-0.6550159535611757,0.7610492898657056,-0.0047927783671415786,-0.06208488699651901,0.04703285391545477,0.02296641319615222,102
13,shell_edge_minus_core,0.5,0.1504491402388054,-0.524096802126821,0.8377004969981969,-0.014711983575699836,-0.07345936013665795,0.06331530652693022,0.16516112381450523,101
13,all_tangential,-0.5,0.0800573426648154,-0.7741253442790075,0.6139405817137902,0.010526847375303228,-0.0900867776641097,0.09923670177669633,0.06953049528951218,102
