ob,variable,event_type,relative_time_sec,median_value_z,q25_value_z,q75_value_z,n_events
2,shell_edge_minus_core,high_to_low,-0.5,0.35191561253392195,-0.7943948408166961,0.8575272727516692,22
2,shell_edge_minus_core,low_to_high,-0.5,0.3270390017654385,-0.5877777277646149,0.8715166288000071,21
2,shell_edge_minus_core,high_to_low,-0.45,0.6680193196271467,0.01508281110140055,1.1085694442581162,22
2,shell_edge_minus_core,low_to_high,-0.45,0.5780330836396927,-0.5366642387959724,1.045618255669251,21
2,shell_edge_minus_core,high_to_low,-0.4,0.22402480975108405,-0.6839430656950809,0.7228251957814602,22
2,shell_edge_minus_core,low_to_high,-0.4,0.1956496224589668,-0.3564562029680512,0.5013219849623941,21
2,shell_edge_minus_core,high_to_low,-0.35,0.07094529006113759,-0.2441112648159923,0.357663493794501,22
2,shell_edge_minus_core,low_to_high,-0.35,-0.3223670398175326,-0.5751351436703104,0.3225764445470804,21
2,shell_edge_minus_core,high_to_low,-0.3,0.03284333048349782,-0.5015246655243005,0.41350409714853714,22
2,shell_edge_minus_core,low_to_high,-0.3,-0.038253285124065894,-1.0131904566545653,0.2869262824124408,21
2,shell_edge_minus_core,high_to_low,-0.25,0.2921978469038172,-0.3529596290779753,0.9713670392416098,22
2,shell_edge_minus_core,low_to_high,-0.25,-0.2035312477798808,-0.796974390014918,0.1998800877943846,21
2,shell_edge_minus_core,high_to_low,-0.2,-0.12057573340628813,-0.4747181081327352,0.7948659533458275,22
2,shell_edge_minus_core,low_to_high,-0.2,-0.1037054386506992,-0.591628528990713,0.18111062470850048,21
2,shell_edge_minus_core,high_to_low,-0.15,-0.2624910025077956,-0.4887818283674471,0.21867056851796515,22
2,shell_edge_minus_core,low_to_high,-0.15,-0.09784602245440373,-0.5548394781326694,0.4634276832123482,21
2,shell_edge_minus_core,high_to_low,-0.1,-0.1667205303035803,-0.6558700671204171,0.22859806977969682,22
2,shell_edge_minus_core,low_to_high,-0.1,0.119782441024738,-0.8104330338653623,0.8523725401363975,21
2,shell_edge_minus_core,high_to_low,-0.05,-0.15087627163080308,-0.493099746064234,0.9344645766239288,22
2,shell_edge_minus_core,low_to_high,-0.05,-0.3345740255142605,-1.0512354338405856,0.15432607015666144,21
2,shell_edge_minus_core,high_to_low,-0.0,0.21488451622251661,-0.49428129057301556,0.8075857094505022,22
2,shell_edge_minus_core,low_to_high,-0.0,-0.083557094269929,-0.8141819799854091,0.592917972488003,21
2,shell_edge_minus_core,high_to_low,0.05,0.11417619810337198,-0.40811843976856466,0.45840948062264414,22
2,shell_edge_minus_core,low_to_high,0.05,0.0937820678989236,-0.29305698849297424,0.8839116244257647,21
2,shell_edge_minus_core,high_to_low,0.1,0.06961930416935061,-0.532829369425043,0.8794471766319463,22
2,shell_edge_minus_core,low_to_high,0.1,0.2758073634523531,0.0914108326812674,0.6509602901051404,21
2,shell_edge_minus_core,high_to_low,0.15,-0.0822573201358989,-0.5033411874574814,0.2708921070470168,22
2,shell_edge_minus_core,low_to_high,0.15,0.467954359673486,-0.35127131393560845,1.1221321768032648,21
2,shell_edge_minus_core,high_to_low,0.2,-0.3286699782056246,-0.8568548832359911,0.13867649361707562,22
2,shell_edge_minus_core,low_to_high,0.2,0.1728030740778561,-0.3237180610914031,0.8688762355573941,21
2,shell_edge_minus_core,high_to_low,0.25,-0.39778946211683036,-0.7783872591089961,0.32627447259221265,22
2,shell_edge_minus_core,low_to_high,0.25,-0.17522782176530677,-0.6290160401528201,0.3434852287751435,21
2,shell_edge_minus_core,high_to_low,0.3,-0.5880377244665091,-1.041837405049816,0.3847991558859782,22
2,shell_edge_minus_core,low_to_high,0.3,0.2647061278209766,-0.5182938439131948,1.118981132668138,21
2,shell_edge_minus_core,high_to_low,0.35,0.4394426356964116,-0.10578334090064179,0.8602080207781972,22
2,shell_edge_minus_core,low_to_high,0.35,-0.12151958756455936,-0.7136555334408995,0.7782267245379344,21
2,shell_edge_minus_core,high_to_low,0.4,0.19337707624155015,-0.6173372356120496,0.9585181522824837,22
2,shell_edge_minus_core,low_to_high,0.4,-0.09024368082955392,-0.806216454151988,0.2601285929914938,21
2,shell_edge_minus_core,high_to_low,0.45,4.2902450312576335e-05,-0.7692079645135006,0.497996082579298,22
2,shell_edge_minus_core,low_to_high,0.45,0.5992653323451533,0.18277011476558735,1.0542452465204708,21
2,shell_edge_minus_core,high_to_low,0.5,0.3921967475151197,-0.11414805413673834,0.9183350394977877,22
2,shell_edge_minus_core,low_to_high,0.5,-0.0528720008250973,-0.5671269097047408,0.5731503963396718,21
2,all_tangential,high_to_low,-0.5,0.3919851079025948,-0.280287140431954,1.0448814451190789,22
2,all_tangential,low_to_high,-0.5,-0.1502469554618429,-0.7529135142864075,0.8905662235550894,21
2,all_tangential,high_to_low,-0.45,-0.20864692136728766,-0.595263957955007,0.5236749464573573,22
2,all_tangential,low_to_high,-0.45,0.1416039855445912,-0.6712781911468121,0.7690628606591423,21
2,all_tangential,high_to_low,-0.4,0.2800109838727505,-0.44916247144954125,0.787639837264927,22
2,all_tangential,low_to_high,-0.4,0.4083953789933608,-0.9422117108829712,0.816366618009086,21
2,all_tangential,high_to_low,-0.35,0.049965191813009804,-0.6724761119463513,0.5236478559853,22
2,all_tangential,low_to_high,-0.35,0.10759578857714355,-0.6750041808662665,0.5319133324935953,21
2,all_tangential,high_to_low,-0.3,0.051264254889771696,-0.7752308501567682,0.5937133354278401,22
2,all_tangential,low_to_high,-0.3,0.131409593309099,-0.5179774467203596,0.6456043786834421,21
2,all_tangential,high_to_low,-0.25,-0.27500687218883135,-0.8289733532938824,0.28175584211460986,22
2,all_tangential,low_to_high,-0.25,-0.03764504604303853,-0.5959472582845424,0.6874954459940319,21
2,all_tangential,high_to_low,-0.2,0.0634856333588504,-0.7336077253483579,0.8115803064499052,22
2,all_tangential,low_to_high,-0.2,-0.2787656959114302,-0.7503909262302461,0.3360817643986076,21
2,all_tangential,high_to_low,-0.15,0.5248550366519107,-0.5415422960003853,0.7963361296678155,22
2,all_tangential,low_to_high,-0.15,-0.3440778719488674,-0.7763100969335937,0.1797303150483823,21
2,all_tangential,high_to_low,-0.1,0.26442764244087574,-0.20752876003459833,0.8055672867950435,22
2,all_tangential,low_to_high,-0.1,-0.5258415458825005,-0.9295496523968612,0.2154703060556212,21
2,all_tangential,high_to_low,-0.05,0.41583831820535677,-0.12969995566437342,0.7607367120860803,22
2,all_tangential,low_to_high,-0.05,-0.11474430901911464,-0.8501542201676663,0.626905662950021,21
