ob,target_id,role,b3_metric,local_metric,k,lag_sec,n_events,b3_event_direction_abs_z,b3_non_event_direction_abs_median_z,b3_event_minus_non_event_direction_z,local_event_direction_abs_z,local_non_event_direction_abs_median_z,local_event_minus_non_event_direction_z,p_non_event_direction_ge_event,local_to_b3_direction_ratio,event_conditioned_local_gate,geometry_ladder_reading
3,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,10,0.1,40,0.4035845679646365,0.36511914142366936,0.03846542654096713,0.3705135366166766,0.2581365151275483,0.11237702148912826,0.25,0.9180567495066915,True,local_nonaffine_signal_survives_pilot
3,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,10,0.1,40,0.26909771264956717,0.266819295663454,0.002278416986113141,0.29874389044611166,0.16967432819450343,0.12906956225160823,0.275,1.1101688212235057,True,local_nonaffine_signal_survives_pilot
3,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,10,0.1,40,0.2121174828315237,0.2927204271529814,-0.0806029443214577,0.24771409055489593,0.203664197319678,0.044049893235217935,0.35,1.1678155296215973,True,local_nonaffine_signal_survives_pilot
4,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,8,0.1,58,0.39605662702778455,0.24857514122756896,0.14748148580021558,0.11472880537162825,0.19257263638564537,-0.07784383101401712,0.75,0.2896777822722297,False,local_affine_largely_absorbs_b3_signal
4,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,8,0.1,58,0.029996658491644318,0.23959235759506498,-0.20959569910342066,0.4723890729153364,0.1676850923407114,0.304703980574625,0.175,15.748056505924556,True,local_nonaffine_signal_survives_pilot
4,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,8,0.1,58,0.643371010515364,0.17844213519312152,0.46492887532224253,0.48904323870581995,0.28216787329846515,0.2068753654073548,0.225,0.7601263201369272,True,local_nonaffine_signal_survives_pilot
4,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,8,0.1,58,0.6445404353625364,0.1643609206609523,0.48017951470158404,0.4506768970007187,0.2619284211100795,0.1887484758906392,0.225,0.6992220693605131,True,local_nonaffine_signal_survives_pilot
4,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,10,0.1,58,0.39605662702778455,0.24857514122756896,0.14748148580021558,0.3341233654534401,0.1792937195791936,0.15482964587424652,0.325,0.8436252360195967,True,local_nonaffine_signal_survives_pilot
4,T1_support_edge_core_tangential,supporting_transition_spatial_metric,edge_minus_core_resid_tangential,local_edge_minus_core_tangential,10,0.1,58,0.029996658491644318,0.23959235759506498,-0.20959569910342066,0.28885743960111426,0.258661289757561,0.030196149843553288,0.425,9.629653905670079,False,inconclusive
4,T2_general_speed_rms,secondary_general_activity,resid_speed_rms,local_speed_rms,10,0.1,58,0.643371010515364,0.17844213519312152,0.46492887532224253,0.7474039513775802,0.26759774026133515,0.47980621111624505,0.025,1.1616997644623153,True,local_nonaffine_signal_survives_pilot
4,T2_general_cov_trace,secondary_general_activity,resid_velocity_cov_trace,local_velocity_cov_trace,10,0.1,58,0.6445404353625364,0.1643609206609523,0.48017951470158404,0.6553284557253659,0.2512103241396693,0.4041181315856966,0.125,1.0167375385172872,True,local_nonaffine_signal_survives_pilot
5,T1_transition_tangential_residual,primary_transition_target,resid_tangential_speed_mean,local_tangential_speed_mean,8,0.1,93,0.42423763470043996,0.19665426185524584,0.22758337284519412,0.375322831761817,0.19300153598215228,0.18232129577966474,0.175,0.8846995199443766,True,local_nonaffine_signal_survives_pilot
