question,association,x,y,left_out_ob,rho_without_ob,rho_full,abs_change
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,1,0.009287925696594427,-0.08421052631578947,0.0934984520123839
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,2,-0.12280701754385966,-0.08421052631578947,0.038596491228070184
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,3,-0.034055727554179564,-0.08421052631578947,0.05015479876160991
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,4,-0.07120743034055728,-0.08421052631578947,0.013003095975232193
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,5,-0.09391124871001032,-0.08421052631578947,0.009700722394220845
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,6,-0.20743034055727552,-0.08421052631578947,0.12321981424148605
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,7,-0.027863777089783277,-0.08421052631578947,0.056346749226006194
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,8,-0.1393188854489164,-0.08421052631578947,0.055108359133126936
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,9,-0.10835913312693499,-0.08421052631578947,0.024148606811145515
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,10,-0.12280701754385966,-0.08421052631578947,0.038596491228070184
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,11,0.04850361197110423,-0.08421052631578947,0.1327141382868937
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,12,-0.12280701754385966,-0.08421052631578947,0.038596491228070184
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,13,-0.07120743034055728,-0.08421052631578947,0.013003095975232193
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,14,-0.10835913312693499,-0.08421052631578947,0.024148606811145515
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,15,-0.023735810113519093,-0.08421052631578947,0.06047471620227038
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,16,-0.08771929824561403,-0.08421052631578947,0.0035087719298245584
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,17,-0.11248710010319916,-0.08421052631578947,0.028276573787409692
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,18,-0.12280701754385966,-0.08421052631578947,0.038596491228070184
HET1,T1 effect vs swarm size,mean_swarm_size,408x_T1_effect,19,-0.08359133126934985,-0.08421052631578947,0.000619195046439619
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,1,0.5046439628482973,0.5105263157894736,0.005882352941176339
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,2,0.5706914344685242,0.5105263157894736,0.06016511867905061
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,3,0.42414860681114547,0.5105263157894736,0.08637770897832814
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,4,0.5294117647058824,0.5105263157894736,0.018885448916408754
HET1,T1 effect vs mean track length,mean_track_length_frames,408x_T1_effect,5,0.5149638802889577,0.5105263157894736,0.00443756449948407
