variable,relative_time_sec,median_real_aligned_z_across_ob,q25_real_aligned_z_across_ob,q75_real_aligned_z_across_ob,median_null_aligned_z_across_ob,median_real_minus_null_aligned_z_across_ob,n_ob
all_tangential,-0.5,-0.02799301557222085,-0.11208852446171283,0.0431000337528817,-7.593195877645016e-05,-0.0535695261270763,14
all_tangential,-0.45,-0.03208294511217635,-0.0759755020952981,0.020612933733992853,-0.0096344840261036,-0.00530027349804305,14
all_tangential,-0.4,-0.12270288788604183,-0.1891674702958443,-0.09729739578337744,-0.018476762307422102,-0.12185877735163175,14
all_tangential,-0.35,-0.15207121770741294,-0.2067289810978296,0.0042734236057672004,0.008243826059198999,-0.1390502638844378,14
all_tangential,-0.3,-0.22278585957065122,-0.2778342290041255,-0.17677965063111492,0.0034590415419532,-0.21681050053419249,14
all_tangential,-0.25,-0.15208765228559115,-0.28167721250032085,-0.08453653881333635,0.011859614887189101,-0.1741199514126048,14
all_tangential,-0.2,-0.26206741364037733,-0.3640480841383645,-0.21006559399568664,-0.0147746573927218,-0.278067269906094,14
all_tangential,-0.15,-0.32334178822738785,-0.36265454824616794,-0.21431572349276895,0.0109059690934361,-0.33753719000267884,14
all_tangential,-0.1,-0.18019798713191035,-0.23797942640924363,-0.07758459017251297,-0.0015587397968605,-0.17627135459991775,14
all_tangential,-0.05,-0.0843310198098614,-0.19294536088841474,0.008042844969727025,-0.0041214117055769,-0.058858167404962455,14
all_tangential,-0.0,0.0534105115656415,0.009779375689694551,0.07837830967456952,0.00437721490622725,0.0402447521111707,14
all_tangential,0.05,0.1270090510286572,0.057111108444042546,0.18172077182249646,0.00021599634923425004,0.10519804248593526,14
all_tangential,0.1,0.17844649189326264,0.12025179151228292,0.2485879098075708,0.00043464378337989916,0.18933276376839375,14
all_tangential,0.15,0.2253689773739802,0.17461117669365042,0.2709379628865033,-0.0060867283705924,0.2310185278475225,14
all_tangential,0.2,0.2270949340543876,0.15491129941280013,0.33614390785832443,0.01009650779570585,0.23979899109154515,14
all_tangential,0.25,0.19176328672158371,0.1334501928248701,0.2833088456483329,-0.0114173386613535,0.20237511150373474,14
all_tangential,0.3,0.11753266350602459,-0.014952990533198353,0.16526259544852573,-0.0007817136995266,0.10579832279722101,14
all_tangential,0.35,0.09009996490754996,0.05042067029994472,0.1635484017969961,0.0072153444996793,0.0870563014041449,14
all_tangential,0.4,0.06421491272537144,-0.07639393128620713,0.14493060922100154,0.0066391762093049,0.0709791296834336,14
all_tangential,0.45,-0.0410097575691907,-0.13456642256194423,0.07150084002256005,-0.00428113167891295,-0.06959093220153001,14
all_tangential,0.5,0.0114990906169243,-0.1218846516669547,0.14598898943065486,0.00256240364180035,-0.00861964163959615,14
density_dense_tangential,-0.5,-0.08952260319173455,-0.17245168222780635,0.015354471512632849,-0.0121133071977108,-0.0735094031164598,14
density_dense_tangential,-0.45,-0.0673081356797097,-0.1260780981856731,0.02867459684751745,-0.01395050130977505,-0.05322190340925315,14
density_dense_tangential,-0.4,-0.050943550035934995,-0.15191821111383458,0.00922626284581465,-0.020297395132298147,-0.03185166770529755,14
density_dense_tangential,-0.35,-0.10372438977102275,-0.22383470750971696,0.08262404461743406,0.00172614134295855,-0.10588114820095479,14
density_dense_tangential,-0.3,-0.10951525011826646,-0.16964421402004226,0.009319833101380223,-0.0008494586451122999,-0.11340564660773306,14
density_dense_tangential,-0.25,-0.047663121107613796,-0.1532778868449075,0.0346877405467061,-0.01160267902145385,-0.05161468678286005,14
density_dense_tangential,-0.2,-0.18018575690518407,-0.2610852729892707,-0.0493776614674611,-0.0017664920176911,-0.17760768974511465,14
density_dense_tangential,-0.15,-0.2545877880564834,-0.2907763065117045,-0.11343505883188708,0.013305213864581,-0.2536051040207279,14
density_dense_tangential,-0.1,-0.1041788994451264,-0.2008509292159107,-0.07323866953771524,0.013501730098367599,-0.12775515818306477,14
density_dense_tangential,-0.05,-0.019122106235923503,-0.13110400601568883,0.08007389040805452,9.239607598767145e-05,-0.025592546961765248,14
density_dense_tangential,-0.0,0.04312538203223675,-0.021255528063057375,0.09437869747409788,0.00811960561854495,0.023696647076730103,14
density_dense_tangential,0.05,0.11498204347543606,0.011655578348195951,0.15195846849367745,0.0020148408411338,0.0861508062739547,14
density_dense_tangential,0.1,0.20608315137944325,0.07690440018679127,0.26984439839126106,0.0045554213134566,0.20954096121201024,14
density_dense_tangential,0.15,0.13341128092467766,0.05375002215080375,0.19396559038238814,0.0016420217874795,0.12476450334508785,14
density_dense_tangential,0.2,0.10519261947138181,0.0014746827372241512,0.15308410253572763,0.014524657049829751,0.10523391324722275,14
density_dense_tangential,0.25,0.1620852748812241,0.008000514599918303,0.2163526492784214,0.00583635523060885,0.1634773689013969,14
density_dense_tangential,0.3,0.0288833775357524,-0.0179517245868459,0.16024824090864914,-0.0064721294621791995,0.0201274419503965,14
density_dense_tangential,0.35,0.1069337026190943,-0.011223965394463225,0.15357623824474523,0.0014234695372880501,0.09105298977716966,14
density_dense_tangential,0.4,0.0033291795975172,-0.11991843186618883,0.07585466323921147,-0.013518799762894,0.025043274315789753,14
density_dense_tangential,0.45,-0.06883826611266694,-0.14248362935035058,0.015414251716013426,0.0046250037110869505,-0.02749125775672565,14
density_dense_tangential,0.5,-0.05124303026870575,-0.10580886250757376,0.13875649528337888,-0.01629221227514565,-0.0389564097961352,14
density_sparse_minus_dense,-0.5,0.1056593400898677,-0.0313853695012242,0.20351477654907724,0.0018270384594552,0.12651927113574765,14
density_sparse_minus_dense,-0.45,0.02790999563610565,-0.07846910709472907,0.11083475746009366,0.00301233778036325,0.0306250297611749,14
density_sparse_minus_dense,-0.4,-0.04306944951777335,-0.10669850739463478,0.07720968106581247,0.0132527782078864,-0.03854896417428205,14
density_sparse_minus_dense,-0.35,0.00991980364353765,-0.041656475219736276,0.09369331720802575,0.00361794920377375,-0.0068982921048338,14
density_sparse_minus_dense,-0.3,0.029201517191019148,-0.005331651811921851,0.09083382218386057,0.0112919989785473,0.033101408392798654,14
density_sparse_minus_dense,-0.25,-0.036886718877730304,-0.12045853290375677,0.07639864025103343,0.00840917329560175,-0.031007077267282197,14
density_sparse_minus_dense,-0.2,0.02774112259295105,-0.0723792156404041,0.13876228646742117,0.0012020960272519149,0.02860503796331175,14
density_sparse_minus_dense,-0.15,0.00762140380394195,-0.0741114420593879,0.1518640138433498,-0.0021619383916305,0.00441496943627155,14
density_sparse_minus_dense,-0.1,0.0310501531130649,-0.09705797682139634,0.08734752944638072,-0.0012575183814937,0.0411488174994498,14
density_sparse_minus_dense,-0.05,-0.05123822730166705,-0.13977203582893755,0.12008444062795942,-0.0031935055160183497,-0.08367231211669755,14
density_sparse_minus_dense,-0.0,0.013472716975714151,-0.11344931378166481,0.10146437368024068,-0.00128993400357715,0.01717678203844005,14
density_sparse_minus_dense,0.05,0.011151779199779,-0.09385722015203335,0.14159103475040036,-0.0092613874580658,-0.0096583898621934,14
density_sparse_minus_dense,0.1,0.03045620196587315,-0.10306770799236847,0.13912843211719825,-0.01058351787850355,0.0351919032540475,14
density_sparse_minus_dense,0.15,-0.00859596556237135,-0.09951122039184428,0.09072220308864958,-0.00777592752436425,-0.0183257519059369,14
density_sparse_minus_dense,0.2,-0.03024278374379785,-0.1083093895993947,0.037768907710502,-0.009139326579845002,-0.0265184796104022,14
density_sparse_minus_dense,0.25,-0.048330463262153,-0.09600494083556425,0.019016334635794625,-0.00273288564993185,-0.04422902015408685,14
density_sparse_minus_dense,0.3,-0.08111489622004836,-0.11535354222991387,0.0010746566350873996,-0.00622215886294885,-0.07288305768703429,14
density_sparse_minus_dense,0.35,-0.0118661749337749,-0.10124111166454433,0.035618553871577405,0.00847619499869645,-0.014965993727932,14
density_sparse_minus_dense,0.4,-0.015081693208830151,-0.13206718300636827,0.13890166517962876,-0.00023012326749994997,0.017480634878542352,14
density_sparse_minus_dense,0.45,0.0313101335728168,-0.04680565980349127,0.11611307538641294,-0.0070749313467755,0.0508968791295757,14
density_sparse_minus_dense,0.5,-0.0070218402915806005,-0.0717633226499397,0.08243793493626385,-0.006847736101799,0.012223934365979499,14
shell_core_tangential,-0.5,-0.023874392104002502,-0.08544324452650405,0.0209830205415143,-0.00114995515415575,-0.0410823536239511,14
shell_core_tangential,-0.45,-0.0413157475195903,-0.131744546816581,0.04489142527674453,-0.018058569495959548,-0.0184128698593478,14
shell_core_tangential,-0.4,-0.05956990368993225,-0.14080179789612862,0.005388281400888575,-0.0154462529942156,-0.05892089838523125,14
shell_core_tangential,-0.35,-0.047978111854205946,-0.168897386102472,0.004143752469053274,8.056215300544995e-05,-0.06667154712815855,14
shell_core_tangential,-0.3,-0.102843280566913,-0.24104584099781784,0.07518862545806185,-0.0110675726147047,-0.09501715084530585,14
shell_core_tangential,-0.25,-0.04964606288763155,-0.1685092606469303,-0.0033410151674323,-0.0005268776247143499,-0.08061143375087826,14
shell_core_tangential,-0.2,-0.1286968313977086,-0.20723199337739356,-0.08691707584292305,-0.00183306553346485,-0.1479426562589037,14
shell_core_tangential,-0.15,-0.22417548713963986,-0.25429956083181326,-0.07740183084033922,0.0096004050853657,-0.2405355703547783,14
shell_core_tangential,-0.1,-0.15409995417773675,-0.21945970132346407,-0.0816295485221849,-0.0080277250252745,-0.12574025487798096,14
shell_core_tangential,-0.05,-0.07710007646786485,-0.15573394495061102,-0.041791750365217,0.0059198151848092,-0.08391073308863731,14
shell_core_tangential,-0.0,-0.008479172379044601,-0.058685464087904746,0.12520380466090095,0.0008390550525215001,0.0015464673902481976,14
shell_core_tangential,0.05,0.1287974688436069,0.08333995472568115,0.1667756345766935,-0.0005860072439971499,0.13681777395661437,14
shell_core_tangential,0.1,0.2122791560031875,0.11951397394467378,0.24342563163282693,0.00291702609580245,0.204761282195151,14
shell_core_tangential,0.15,0.16168286859161235,0.0950180391920516,0.24333501626106852,0.0091323511408961,0.15870342512696523,14
shell_core_tangential,0.2,0.13258012873961664,-0.010604693334054924,0.2212623430528061,0.009480358068214699,0.1420431914384781,14
