C_bin,dCdt_bin,radius_bin,n,mean_signed_tan_projection,mean_log_tan_energy,mean_tan_energy,mean_vector_strength,directional_coherence
0,0,0,4304,140.72244355144383,10.002480359226674,49664.35995552994,5.345267176165466,0.011883381128833925
0,0,1,5400,129.01604504510254,9.999981913538758,46503.045029643865,1.298873811039656,0.013585447209514415
0,0,2,5912,110.04427546062594,9.906118542800531,40297.4128822923,1.331801365835272,0.009981590746279505
0,1,0,5856,137.83894364474492,9.953291674740765,47937.314045556355,2.984327620135781,0.011063239604326812
0,1,1,6976,129.61218013901765,9.985078807680773,47627.376088157725,3.16421981936527,0.014663729685290547
0,1,2,8416,110.10398805543124,9.905668844136951,41655.86109168648,1.5268144791390106,0.01246167698777056
0,2,0,4832,149.66879901392969,10.092169345075156,52993.22239618506,6.909435037087048,0.019672194593976296
0,2,1,5232,127.82817195001157,9.966523964498428,46672.79140329142,0.8257504162453964,0.005262636970309987
0,2,2,6448,109.0627656309687,9.8900875314511,40591.60106851665,1.0444478226047529,0.013610426844214532
1,0,0,5648,143.98522793285443,10.023703200906116,50981.21682762556,3.2104064993581662,0.011812272367604616
1,0,1,5728,123.32879192362115,9.969109665912024,44466.52876344101,4.228542755472575,0.02014908186399785
1,0,2,5968,104.7710722643181,9.836399367437807,38044.84874818584,0.8970870144011547,0.013734146319411772
1,1,0,6096,142.96405531445254,10.031730368023274,49917.591153235604,6.646565279608829,0.021851053764890795
1,1,1,6056,127.16983944667949,9.981363126125373,44720.02716267583,4.908420321288063,0.015234931642771756
1,1,2,7304,105.52125360552685,9.88917761612695,40188.71378841652,1.4193685390458755,0.015824571492827705
1,2,0,5248,140.5343693014816,9.9789176570573,48976.758856690365,3.9746841395350816,0.009330276688506202
1,2,1,5528,124.73517506304451,9.934067227905471,45207.03641382571,4.087050483738261,0.009350610747194725
1,2,2,5864,109.50368883877874,9.883830078636391,40903.96668860494,2.64637322914218,0.0017898734316715028
2,0,0,6416,144.70016566820397,10.04176643066659,52170.159430557615,3.9860200393812657,0.01813184995894198
2,0,1,6328,128.84652507845627,10.006809240159363,47921.59465002826,3.4815802692319515,0.015565082702013474
2,0,2,5880,106.94964072290529,9.91637083711161,41263.070155131136,2.1567905924808444,0.012288283588750821
2,1,0,5440,141.50840356993763,10.03329169746865,48517.70381289158,4.4991325960143085,0.020257127102318823
2,1,1,5120,127.5916611235782,9.993262808073787,46630.89259117068,3.404056693683939,0.016113560978302844
2,1,2,5056,108.93584046062323,9.91222675673578,40499.1355389142,3.7157214971474466,0.02523747243069873
2,2,0,6640,143.24346441191648,10.037607596868657,50907.855127923474,2.3639244112896134,0.01049467718426196
2,2,1,6392,125.10993639434389,9.966975208587721,45391.96560114848,2.3415726242035384,0.005175900535449848
2,2,2,6168,108.74213380008047,9.915362535738657,42107.284357231365,1.3499473138891411,0.006095027885221697
3,0,0,7664,146.65065536897885,10.057572613974834,53280.38072296002,3.5972412825408604,0.018000334576122934
3,0,1,6888,125.75471924793655,9.98354451230973,46867.83985865736,4.28446517263345,0.02015308707009153
3,0,2,5096,107.39976389076104,9.880078973253735,40652.26219685464,2.0706809368732215,0.01781212751694254
3,1,0,5384,144.74551284215542,10.036918174308298,52743.77717693295,3.799733798363723,0.010686510363869882
3,1,1,5192,128.54958311367417,9.994193828625672,48032.51483529782,4.722435088216727,0.026006847852828696
3,1,2,4336,112.923552225584,9.90624900917104,41583.41513013242,2.634599226954229,0.017861197870965302
3,2,0,7704,138.68533583166595,10.025918583498196,48781.17070299802,2.6418894787451266,0.011512017541160541
3,2,1,6392,122.66783451850999,9.963352240865838,43592.78867107831,3.6173718211842125,0.019591212667059425
3,2,2,4784,112.96242774492545,9.962984027801237,42440.69198666105,3.449089469735487,0.02661422839522936
