heldout_ob,target_family,target,incremental_r2_shift_vs_radius,real_minus_shift_incremental_r2
1,first_moment,signed_tan_projection,3.902801602606587e-05,-0.0010759396255266562
1,second_moment,log_tan_energy,-0.00020479453862676245,-0.0013068030718041967
2,first_moment,signed_tan_projection,-0.0008049444813273965,0.0010637328403222401
2,second_moment,log_tan_energy,-0.00021232730726539195,0.00036409198463893677
3,first_moment,signed_tan_projection,2.5189087563326495e-05,-0.0008355896527953988
3,second_moment,log_tan_energy,0.001519571554669863,-0.002518454029695416
4,first_moment,signed_tan_projection,-0.0011243933850755283,0.0004916140658726142
4,second_moment,log_tan_energy,-0.0008658824496847739,0.0001129489483369106
5,first_moment,signed_tan_projection,0.0005197196572629403,-0.001466507807559192
5,second_moment,log_tan_energy,0.0016996232650979826,-0.001440918925543322
6,first_moment,signed_tan_projection,-0.0004961266141034759,0.00023694843334420845
6,second_moment,log_tan_energy,-0.00021738842083052212,7.795118247022614e-05
7,first_moment,signed_tan_projection,-0.00015302475145917427,-0.0006697338390277974
7,second_moment,log_tan_energy,2.3303388670958824e-05,-0.00084915234395333
8,first_moment,signed_tan_projection,-0.0006396034548974416,-0.0008860449182641617
8,second_moment,log_tan_energy,-0.0010978889113058,-0.0008349578794593082
9,first_moment,signed_tan_projection,-0.00022115704575798034,0.00025786843753150546
9,second_moment,log_tan_energy,-0.0005225773196773087,6.199431439934955e-05
10,first_moment,signed_tan_projection,-0.0005043929403283354,8.548225970850254e-05
10,second_moment,log_tan_energy,-8.32269679746922e-05,-0.00017036448285390193
11,first_moment,signed_tan_projection,0.0006217416753367955,-0.001106889977949277
11,second_moment,log_tan_energy,0.0010473140289533056,-0.0013543867797125575
12,first_moment,signed_tan_projection,-0.0003474115364574537,-0.00031127385785012507
12,second_moment,log_tan_energy,-7.32011480808481e-05,-0.0013922460640196643
13,first_moment,signed_tan_projection,2.9915545591951975e-05,0.0005573223557691076
13,second_moment,log_tan_energy,0.0006106487213928258,-0.0006586480320149857
14,first_moment,signed_tan_projection,-0.0005822777623265551,-7.628026455153147e-05
14,second_moment,log_tan_energy,-0.001399279772286377,0.00038280271871915517
15,first_moment,signed_tan_projection,-0.0006483335891174224,0.0005312521847637974
15,second_moment,log_tan_energy,-0.00012663631115694685,0.00018740475561762615
16,first_moment,signed_tan_projection,5.4842827849510556e-05,-0.0009690093585250636
16,second_moment,log_tan_energy,-0.00010895104228758612,-0.0005124392271014244
17,first_moment,signed_tan_projection,-0.0016961278519505019,0.001733456371293074
17,second_moment,log_tan_energy,-0.0029165569906397515,0.002532457156651846
18,first_moment,signed_tan_projection,-0.00011858816595133881,-0.0006820988706999209
18,second_moment,log_tan_energy,-0.000384913531181974,-0.0007395600695621063
19,first_moment,signed_tan_projection,0.0002669736724880689,-0.0003082888383936222
19,second_moment,log_tan_energy,0.0006036669170191855,-0.001521338222895463
