ob,variable,phase,event_type,n_events,real_phase_median_z,null_phase_median_z,event_minus_null_z,p_null_abs_excess_ge_real_abs_excess,event_type_gate
7,shell_middle_tangential,near_post,low_to_high,19,0.2322040559626196,0.03169753331473761,0.200506522647882,0.2,True
7,shell_middle_tangential,near_post,high_to_low,14,-0.05855621003227154,0.07710750427325269,-0.13566371430552424,0.375,False
7,shell_edge_tangential,near_pre,low_to_high,19,-0.31063184596232896,-0.01862650886384054,-0.2920053370984884,0.15,True
7,shell_edge_tangential,near_pre,high_to_low,14,0.13456770140686694,0.07696478256864094,0.057602918838226005,0.625,False
7,shell_edge_tangential,near_post,low_to_high,19,0.3996468610360472,-0.019950329455081163,0.41959719049112837,0.025,True
7,shell_edge_tangential,near_post,high_to_low,14,-0.008224375406812999,-0.005553022157749429,-0.0026713532490635697,1.0,False
9,all_tangential,near_pre,low_to_high,17,-0.3946262181787149,-0.017131491890506653,-0.37749472628820824,0.075,True
9,all_tangential,near_pre,high_to_low,20,0.38307187064358245,0.033932883586971635,0.34913898705661084,0.025,True
9,all_tangential,near_post,low_to_high,17,0.28411101283193463,0.07091086452587324,0.21320014830606138,0.35,False
9,all_tangential,near_post,high_to_low,20,-0.22167124483378592,-0.04062614767611073,-0.1810450971576752,0.225,True
9,shell_edge_minus_core,near_pre,low_to_high,17,0.16715051063135483,0.044891383552815925,0.1222591270785389,0.55,False
9,shell_edge_minus_core,near_pre,high_to_low,20,-0.12618438504543172,-0.07428342697548908,-0.051900958069942646,0.675,False
9,shell_edge_minus_core,near_post,low_to_high,17,-0.1618176713421416,0.059418116992323675,-0.22123578833446528,0.175,True
9,shell_edge_minus_core,near_post,high_to_low,20,0.11146075243053158,-0.01742997580456778,0.12889072823509937,0.475,False
9,shell_core_tangential,near_pre,low_to_high,17,-0.3811733960154015,-0.015040373166747213,-0.3661330228486543,0.1,True
9,shell_core_tangential,near_pre,high_to_low,20,0.2740425558600193,0.0661934642283607,0.2078490916316586,0.4,False
9,shell_core_tangential,near_post,low_to_high,17,0.4943505273990694,-0.04112624773467692,0.5354767751337463,0.0,True
9,shell_core_tangential,near_post,high_to_low,20,-0.10464105378794152,-0.04009841830199656,-0.06454263548594495,0.75,False
9,shell_middle_tangential,near_pre,low_to_high,17,0.0594311833330266,0.01431183991424274,0.04511934341878386,0.85,False
