surrogate_type,replicate,long_lag_q25_lift_median_sets,long_lag_q25_retention_median_sets,lag0p1_q25_lift_median_sets,lag1p0_q25_lift_median_sets,median_residence_all,q75_residence_all,q90_residence_all
label_shuffle,1,-0.0034252334678449986,0.49558461545944943,-0.0040876511444446345,-0.0017070639595980902,0.019999999999996,0.0199999999999994,0.039999999999992
independent_phase_rank,1,0.13590850386211578,0.6390163672366579,0.3215029854948871,0.04996946723247356,0.0299999999999991,0.1199999999999964,0.469999999999906
coupled_phase_rank,1,0.16614002212049117,0.6664321436071503,0.3493421684428015,0.06527246539027938,0.0299999999999991,0.1499999999999955,0.669999999999866
label_shuffle,2,-0.002131522531236177,0.4972393823985993,-0.001328364845180216,-0.0018341253203249808,0.019999999999996,0.0199999999999994,0.039999999999992
independent_phase_rank,2,0.13308542132728265,0.6323889171068914,0.3246557359300156,0.05074271141789209,0.0299999999999991,0.1199999999999964,0.4999999999999
coupled_phase_rank,2,0.15719023552888067,0.6556576557603339,0.34970803313357157,0.06430006437509601,0.039999999999992,0.159999999999968,0.6899999999998621
label_shuffle,3,-0.0013114250539764394,0.49895004237007656,-0.0027011000928758855,-0.0038876965675099934,0.0099999999999997,0.0199999999999994,0.039999999999992
independent_phase_rank,3,0.12540649075555732,0.6278539084126653,0.32103790806015065,0.033639415233328154,0.0299999999999991,0.129999999999974,0.519999999999896
coupled_phase_rank,3,0.16215189820963727,0.6618565381068229,0.34131140379170744,0.0714855901396249,0.039999999999992,0.159999999999968,0.679999999999864
label_shuffle,4,-0.002656943374710896,0.49682767092126423,-0.0026786515001022554,-0.000714432437474613,0.019999999999996,0.029999999999994,0.039999999999992
independent_phase_rank,4,0.13181957961931923,0.6330604612868151,0.3263908218008992,0.055762615378173314,0.0299999999999991,0.129999999999974,0.489999999999902
coupled_phase_rank,4,0.1553034073548717,0.6553034073548716,0.3454173779527133,0.06351618851359263,0.039999999999992,0.159999999999968,0.669999999999866
label_shuffle,5,-0.0005358731027126085,0.4992706842009562,-0.0026686965777877603,-0.00020070779529485216,0.0099999999999997,0.0199999999999994,0.039999999999992
independent_phase_rank,5,0.13051278852704784,0.6315554485602413,0.31925588555141426,0.048434851932493556,0.0299999999999991,0.129999999999974,0.4999999999999
coupled_phase_rank,5,0.16021497958762468,0.6602149795876247,0.34485502481252994,0.06936107792053274,0.039999999999992,0.1599999999999952,0.679999999999864
label_shuffle,6,-0.0014494627575444285,0.4983242643297424,-0.003648708274005416,-0.0028106420970738094,0.019999999999996,0.029999999999994,0.039999999999992
independent_phase_rank,6,0.14118267408375654,0.6410848396569874,0.32262367347812015,0.05389396976327365,0.0299999999999991,0.119999999999976,0.4999999999999
coupled_phase_rank,6,0.1505091282983761,0.6505091282983761,0.34734426839029986,0.06187427561074062,0.039999999999992,0.159999999999968,0.6799999999999796
label_shuffle,7,-0.0023684126994713978,0.49691214103527037,-0.0014335673726820902,-0.003919845375191702,0.0099999999999997,0.0199999999999994,0.039999999999992
independent_phase_rank,7,0.1378633219000603,0.6360375517527723,0.3312481796472654,0.0539051059097012,0.0299999999999991,0.129999999999974,0.5199999999999844
coupled_phase_rank,7,0.15657058675894092,0.657125364527272,0.34190833529297415,0.06129008724784375,0.039999999999992,0.159999999999968,0.669999999999866
label_shuffle,8,-0.0019262546151534582,0.4980041518628882,-0.004079598582577254,-0.0023572825200081637,0.019999999999996,0.029999999999994,0.039999999999992
independent_phase_rank,8,0.1382051760882621,0.6345573592935685,0.3238047267961228,0.04525177860408597,0.0299999999999991,0.1199999999999964,0.489999999999902
coupled_phase_rank,8,0.14829071455778492,0.648290714557785,0.351936694534163,0.05433218860906458,0.039999999999992,0.1499999999999955,0.6499999999999805
label_shuffle,9,-0.0022139549911452117,0.4973639975112873,-0.0024246828463884568,-0.0046315371066574795,0.019999999999996,0.0199999999999994,0.039999999999992
independent_phase_rank,9,0.14106594938904715,0.6384102466485919,0.32045945491791905,0.05807496122557143,0.0299999999999991,0.119999999999976,0.489999999999902
coupled_phase_rank,9,0.153245762787168,0.6535343386399364,0.34285120288399273,0.06672282071493293,0.039999999999992,0.1499999999999955,0.629999999999874
label_shuffle,10,-0.0031864616193304635,0.49623253449657645,-0.0020992532315232265,-0.00393888149681576,0.019999999999996,0.0199999999999994,0.039999999999992
independent_phase_rank,10,0.13293930276489777,0.6325713485766873,0.3148795505544768,0.04359242720015921,0.0299999999999991,0.1199999999999964,0.479999999999904
coupled_phase_rank,10,0.15288126332919544,0.6530266121741886,0.34361478690830916,0.06338563758428281,0.039999999999992,0.15749999999997488,0.64999999999987
label_shuffle,11,-0.004218954205273032,0.4969895596540721,-0.002127234873547365,-0.0028098665572520165,0.0099999999999997,0.0199999999999994,0.039999999999992
independent_phase_rank,11,0.1390755237777461,0.6384143274458478,0.32356320417932427,0.05508056329846249,0.0299999999999991,0.1199999999999964,0.499999999999985
coupled_phase_rank,11,0.16033919159204574,0.6599639197404802,0.3522741534986001,0.06826352258775233,0.039999999999992,0.159999999999968,0.6899999999999793
label_shuffle,12,-0.001595990860309024,0.4983945063636116,-0.002727292322966396,-0.002354857662692056,0.0099999999999997,0.0199999999999994,0.039999999999992
independent_phase_rank,12,0.13402760727322616,0.6329114858913133,0.32067669487415795,0.0476349721535682,0.0299999999999991,0.1199999999999964,0.489999999999902
coupled_phase_rank,12,0.15378253039511336,0.6546664992484333,0.3443435540250035,0.05824592869039308,0.039999999999992,0.159999999999968,0.659999999999868
label_shuffle,13,-0.0011733545126675765,0.4989982540261199,-0.0035075935452590634,-0.0013937054935271864,0.019999999999996,0.029999999999994,0.039999999999992
independent_phase_rank,13,0.14228540490469604,0.6440701742896001,0.32089183489017375,0.06051200592159624,0.0299999999999991,0.1199999999999964,0.489999999999902
