event_id,ob,dataset,event_t,event_type,match_rank,control_t,match_distance,abs_std_diff_C,abs_std_diff_dCdt,abs_std_diff_R,event_A_pre_z,control_A_pre_z,delta_A_pre_z,acceptable_event_match
1,1,Ob1.txt,3.36,low_to_high,1,33.37,0.19630648503562512,0.12275227029617082,0.06822961409648803,0.13715989196708434,-0.812880961973389,-1.1657822524238592,0.35290129045047025,True
1,1,Ob1.txt,3.36,low_to_high,2,33.57,0.23157843884110868,0.14656399667925907,0.08074714958262245,0.16008580838965347,-0.812880961973389,-0.8634141704694022,0.05053320849601317,True
1,1,Ob1.txt,3.36,low_to_high,3,50.27,0.29582010850731943,0.11345741328182617,0.1502043151413772,0.2282008231395956,-0.812880961973389,0.1840570824305814,-0.9969380444039704,True
1,1,Ob1.txt,3.36,low_to_high,4,103.87,0.30907827604163884,0.15831703313169876,0.14213769813460045,0.22419182079247518,-0.812880961973389,0.1975066003538369,-1.0103875623272258,True
1,1,Ob1.txt,3.36,low_to_high,5,86.67,0.35878394120221746,0.14705283400678365,0.28513992134898514,0.1606132177881514,-0.812880961973389,-0.5315386560502691,-0.28134230592311993,True
2,1,Ob1.txt,5.8,high_to_low,1,103.27,0.13553489148089964,0.049070454925208944,0.11344539393951669,0.05560521428859122,-1.2976229602864398,1.1117950462014614,-2.4094180064879014,True
2,1,Ob1.txt,5.8,high_to_low,2,70.07,0.16214892356595859,0.04789723393114873,0.030764054422648734,0.1518278675040396,-1.2976229602864398,-0.2972707069154376,-1.000352253371002,True
2,1,Ob1.txt,5.8,high_to_low,3,35.27,0.2322606090514286,0.01921905208903766,0.19814097070511916,0.11964854483767251,-1.2976229602864398,-0.2723416847624694,-1.0252812755239704,True
2,1,Ob1.txt,5.8,high_to_low,4,69.97,0.27471033787077387,0.2162133825628509,0.09072067665625805,0.1431338595889725,-1.2976229602864398,1.0168245486725034,-2.314447508958943,True
2,1,Ob1.txt,5.8,high_to_low,5,17.87,0.2915354525923808,0.1120836955087211,0.2676265185636424,0.028393870480386857,-1.2976229602864398,0.3660705877382758,-1.6636935480247155,True
3,1,Ob1.txt,6.1,low_to_high,1,70.67,0.20468004692793731,0.19113258828928326,0.06606771701524267,0.031580248141136746,-0.907930133573574,-0.7033600071021875,-0.2045701264713865,True
3,1,Ob1.txt,6.1,low_to_high,2,98.17,0.214289562682704,0.18721056302380168,0.08183922960409576,0.06461085253162813,-0.907930133573574,0.2300328427964359,-1.1379629763700099,True
3,1,Ob1.txt,6.1,low_to_high,3,61.47,0.23015896259496654,0.1356826987576406,0.14352338728179279,0.11817102277544644,-0.907930133573574,0.4221831111978851,-1.330113244771459,True
3,1,Ob1.txt,6.1,low_to_high,4,63.37,0.25830205022753727,0.10969934892488298,0.09761580185332033,0.2125021346380767,-0.907930133573574,1.0784915612396968,-1.986421694813271,True
3,1,Ob1.txt,6.1,low_to_high,5,34.37,0.2949120336456786,0.26802416958622544,0.10403756481812383,0.06566838823481808,-0.907930133573574,-0.329975300663887,-0.5779548329096871,True
4,1,Ob1.txt,14.81,high_to_low,1,70.77,0.26423325088302413,0.013984760530882157,0.24062847761295225,0.10826621405950232,1.5413512184750322,0.2891725280507929,1.2521786904242393,True
4,1,Ob1.txt,14.81,high_to_low,2,58.27,0.2709045893158177,0.17882390033571655,0.16688344852899673,0.11645266758715,1.5413512184750322,0.188599122034969,1.3527520964400632,True
4,1,Ob1.txt,14.81,high_to_low,3,92.57,0.3159815596726366,0.2942169906725793,0.08912498848589645,0.07305781874729222,1.5413512184750322,0.7200061468373158,0.8213450716377164,True
4,1,Ob1.txt,14.81,high_to_low,4,52.47,0.34158817242866785,0.03449544385958256,0.11722614615999105,0.31898365875474577,1.5413512184750322,-0.7048306561592501,2.2461818746342823,True
4,1,Ob1.txt,14.81,high_to_low,5,71.17,0.3495665572345406,0.032249022946535685,0.34380356786654864,0.05436805291745028,1.5413512184750322,2.340493889719605,-0.7991426712445728,True
5,1,Ob1.txt,20.48,high_to_low,1,2.17,0.08195254954825658,0.053590187649794736,0.005208480020542305,0.06178336265528811,0.1424525481488109,-0.7432335316904882,0.8856860798392991,True
5,1,Ob1.txt,20.48,high_to_low,2,52.47,0.24442839251954573,0.03552146079005071,0.19138402330256632,0.14783646545271828,0.1424525481488109,-0.7048306561592501,0.847283204308061,True
5,1,Ob1.txt,20.48,high_to_low,3,104.47,0.2640083693772052,0.004098509842537221,0.24811132393480606,0.09013541065307895,0.1424525481488109,0.4493388974780452,-0.3068863493292343,True
5,1,Ob1.txt,20.48,high_to_low,4,61.77,0.30333010305369307,0.13245310983647898,0.2704460179492041,0.03639060989635223,0.1424525481488109,0.5283102241102701,-0.38585767596145915,True
5,1,Ob1.txt,20.48,high_to_low,5,2.27,0.3103894596026882,0.176895154819319,0.2546222112843264,0.014739415001207623,0.1424525481488109,-0.1225445560689848,0.2649971042177957,True
6,1,Ob1.txt,22.5,high_to_low,1,41.47,0.16683060593468318,0.050460447952226095,0.028707687452770525,0.1564035260155866,0.317415464018059,1.1011574677695122,-0.7837420037514532,True
6,1,Ob1.txt,22.5,high_to_low,2,68.97,0.21648982002574887,0.2002924811006456,0.02650986182376236,0.07776883318794037,0.317415464018059,-0.6739270871683629,0.9913425511864219,True
6,1,Ob1.txt,22.5,high_to_low,3,49.67,0.24234623617350087,0.16566063402629713,0.15704005222034145,0.08140438882578716,0.317415464018059,-0.8292466861849673,1.1466621502030263,True
6,1,Ob1.txt,22.5,high_to_low,4,10.47,0.3102879142283848,0.163609934245373,0.2359561623226053,0.11762256838895568,0.317415464018059,0.1527658687520633,0.16464959526599568,True
6,1,Ob1.txt,22.5,high_to_low,5,10.57,0.3435639965309023,0.25725977280087164,0.08918763818206465,0.20952134546683987,0.317415464018059,0.1527658687520633,0.16464959526599568,True
7,1,Ob1.txt,27.33,low_to_high,1,18.07,0.1911319180315724,0.020118921691509417,0.17488542052739964,0.07444278855170061,0.06340893947889235,-0.5150780482537398,0.5784869877326322,True
7,1,Ob1.txt,27.33,low_to_high,2,40.47,0.205355270597919,0.16570613171864879,0.03146802886995381,0.1171410612561885,0.06340893947889235,0.1128028599341425,-0.04939392045525015,True
