source_id,source_table,source_script,variable,phase,phase_window,n_observations,observations,preprocessing,null_sampler,reported_abs_gap_gate,reported_p_gate,reported_phase_gate_count,count_under_4085_gate,count_under_4142_gate,median_abs_event_minus_abs_null_z,median_p_null_abs_ge_real_abs,passed_observations_reported,passed_observations_under_4085_gate,passed_observations_under_4142_gate
4085_original,Output/4085/tables/phase_profile_rows.csv,Experiment/run_4085_event_phase_profile_of_t1_signal.py,all_tangential,near_pre,"[-0.25, 0.00) s",14,"2,5,7,9,10,11,12,13,14,15,16,17,18,19",frozen 4084 residual column all_tangential__resid4084 (centered one-second detrending already cached),run_4081.sample_non_event_times,0.12,0.25,8,8,11,0.12772962907304114,0.037500000000000006,"9,11,12,13,14,15,16,19","9,11,12,13,14,15,16,19","2,5,9,11,12,13,14,15,16,18,19"
4142_centered_1s,Output/4142/phase_detrending_rows.csv,Experiment/run_4142_detrending_challenge.py,all_tangential,near_pre,"[-0.25, 0.00) s",14,"2,5,7,9,10,11,12,13,14,15,16,17,18,19",recomputed centered_1s from raw all_tangential in the 4084 spatial frame,run_4141.sample_like_events,0.03,0.35,11,9,11,0.1499508146449261,0.025,"2,5,9,11,12,13,14,15,16,18,19","2,9,11,12,13,14,15,16,19","2,5,9,11,12,13,14,15,16,18,19"
4142_past_1s,Output/4142/phase_detrending_rows.csv,Experiment/run_4142_detrending_challenge.py,all_tangential,near_pre,"[-0.25, 0.00) s",14,"2,5,7,9,10,11,12,13,14,15,16,17,18,19",past-only one-second detrending from raw all_tangential,run_4141.sample_like_events,0.03,0.35,8,7,8,0.12204958344448585,0.11249999999999999,"9,11,12,13,14,15,18,19","11,12,13,14,15,18,19","9,11,12,13,14,15,18,19"
4142_none_z,Output/4142/phase_detrending_rows.csv,Experiment/run_4142_detrending_challenge.py,all_tangential,near_pre,"[-0.25, 0.00) s",14,"2,5,7,9,10,11,12,13,14,15,16,17,18,19",within-observation robust-z only; no rolling detrending,run_4141.sample_like_events,0.03,0.35,12,9,12,0.1675332230526057,0.0625,"2,5,7,9,11,12,13,14,15,16,17,19","2,7,9,11,12,13,14,15,19","2,5,7,9,11,12,13,14,15,16,17,19"
