variable,family,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1471,0.10859360185469222,-0.08516972133150122,0.1503424773511205,0.1503424773511205,0.7894736842105263,88
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1471,0.10859360185469291,-0.08516972133150161,0.1503424773511203,0.1503424773511203,0.7894736842105263,88
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1471,0.11665480340409466,-0.028865664235856847,0.09768545638774372,0.09768545638774372,0.6842105263157895,88
knn_resid_alignment_observed,observed_pair,19,1471,0.016192611829549508,-0.017996534961952228,-0.08170114003500312,0.08170114003500312,0.631578947368421,88
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1471,0.058197699403704006,-0.04745501772688138,-0.06534618236887965,0.06534618236887965,0.631578947368421,88
knn_resid_radial_cov_observed,observed_pair,19,1471,0.07236108317137607,0.036274153846531335,-0.05855613144165925,0.05855613144165925,0.5789473684210527,88
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1471,0.014850241167219017,-0.038419274013749394,0.057628181118585795,0.057628181118585795,0.5789473684210527,88
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1471,0.0491476223590291,-0.04022432382516955,0.044277520925852604,0.044277520925852604,0.5263157894736842,88
knn_resid_speed_cov_observed,observed_pair,19,1471,0.04295913665867271,-0.06557092253203908,0.04091345072866226,0.04091345072866226,0.5263157894736842,88
knn_resid_alignment_cumulant,empirical_cumulant,19,1471,-0.029982706197310312,-0.034834790862501186,-0.03405847702395853,0.03405847702395853,0.5263157894736842,88
knn_resid_tangential_cov_observed,observed_pair,19,1471,0.020361344959050676,-0.03336902405464548,0.03019661278061568,0.03019661278061568,0.5789473684210527,88
knn_resid_tangential_cov_cumulant,empirical_cumulant,19,1470,0.09965328725463851,0.017157887340687017,0.1453759490510911,0.1453759490510911,0.631578947368421,89
knn_resid_tangential_cov_observed,observed_pair,19,1470,0.12661642660002415,0.0012532784025282018,0.12663695957321117,0.12663695957321117,0.6842105263157895,89
knn_resid_radial_cov_cumulant,empirical_cumulant,19,1470,0.07305516162274067,0.025255845125622095,0.08647337411307932,0.08647337411307932,0.5789473684210527,89
knn_resid_alignment_observed,observed_pair,19,1470,-0.021825980601260193,0.06360187150022709,-0.07686451984264495,0.07686451984264495,0.5789473684210527,89
knn_resid_alignment_cumulant,empirical_cumulant,19,1470,-0.007175034538495155,0.025709746571484726,-0.06340512933804887,0.06340512933804887,0.5789473684210527,89
knn_resid_speed_cov_observed,observed_pair,19,1470,-0.034682834573255786,-0.022527372318460276,0.043239811729761296,0.043239811729761296,0.5263157894736842,89
knn_resid_alignment_expected,one_fish_conditional_baseline,19,1470,0.07554865107437014,0.024180048326231815,0.037479168395403994,0.037479168395403994,0.5789473684210527,89
knn_resid_tangential_cov_expected,one_fish_conditional_baseline,19,1470,0.07222767524185297,-0.0674684961226456,0.03132764371131863,0.03132764371131863,0.631578947368421,89
knn_resid_radial_cov_expected,one_fish_conditional_baseline,19,1470,0.07222767524185297,-0.06746849612264527,0.031327643711317577,0.031327643711317577,0.631578947368421,89
knn_resid_speed_cov_expected,one_fish_conditional_baseline,19,1470,0.07222767524185253,-0.06746849612264572,0.03132764371131638,0.03132764371131638,0.631578947368421,89
knn_resid_radial_cov_observed,observed_pair,19,1470,0.08802183597133925,-0.002614843722184901,0.026469289823491532,0.026469289823491532,0.5263157894736842,89
knn_resid_speed_cov_cumulant,empirical_cumulant,19,1470,-0.05434028309602568,-0.03719856897292462,-0.002292846294564721,0.002292846294564721,0.5263157894736842,89
