variable,family,event_type,relative_time_sec,median_resid_z,q25_resid_z,q75_resid_z,n_events
knn_resid_radial_cov_cumulant,empirical_cumulant,high_to_low,0.5,0.0173287433296056,-0.6518501461297037,0.6856489504404859,750
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,-0.5,-0.008944356098849358,-0.563615494159794,0.7950273709194546,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,-0.45,-0.023551208151958596,-0.58089681035748,0.6416740904017515,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,-0.4,0.027129900954328406,-0.6182049918532575,0.6720524888531416,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,-0.35,0.0019807298901243046,-0.6685813042234969,0.7409657431661288,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,-0.3,-0.019337928570674803,-0.6433365422619732,0.6303478578304782,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,-0.25,-0.07667944754272706,-0.6378005792969397,0.6897643911208421,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,-0.2,0.019644942484917695,-0.6404007134516814,0.6853454142343964,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,-0.15,-0.04159720811272599,-0.6390604000307749,0.6842985227630279,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,-0.1,-0.036136691770876764,-0.6648502989665832,0.6184470906509894,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,-0.05,-0.046219302854701175,-0.6620017447966556,0.6715825243377963,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,-0.0,-0.0037536949500597532,-0.6971712691794627,0.7774080388093737,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,0.05,0.053422684000320735,-0.64093583046843,0.743704989702358,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,0.1,0.01423761127267227,-0.6431555097293018,0.7420683308739424,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,0.15,0.023248299253789968,-0.6343632003814563,0.7297311366702077,721
knn_resid_speed_cov_cumulant,empirical_cumulant,low_to_high,0.2,0.01062644628086389,-0.6312535185629047,0.6573564288659393,721
