replicate,variable,null_abs_transition_modulation
8,edge_minus_core_radial_abs_q75,0.014652222746419336
8,edge_minus_core_radial_signed_mean,0.017477258198500628
8,edge_high_speed_fraction_minus_core,0.01406715461509983
8,top_speed_radius_mean_z,0.01852367097377966
8,top_tangential_radius_mean_z,0.010344399267031928
8,resid_speed_gini,0.02633849122556961
8,resid_energy_shell_entropy,0.019394509655650483
9,edge_energy_share,0.03236992573693562
9,core_energy_share,0.05869797225186768
9,edge_minus_core_energy_share,0.06237546252961118
9,edge_minus_core_speed_mean,0.05389181316107575
9,edge_minus_core_speed_q75,0.06183667494808451
9,edge_minus_core_tangential_mean,0.04938917994215025
9,edge_minus_core_tangential_q75,0.03891050029606666
9,edge_minus_core_radial_abs_mean,0.05346196215377372
9,edge_minus_core_radial_abs_q75,0.028450778359065954
9,edge_minus_core_radial_signed_mean,0.013572619665946806
9,edge_high_speed_fraction_minus_core,0.056085708483956304
9,top_speed_radius_mean_z,0.0532984343368646
9,top_tangential_radius_mean_z,0.034343626928780985
9,resid_speed_gini,0.03708637618021299
9,resid_energy_shell_entropy,0.07080767583757136
10,edge_energy_share,0.009200301375189818
10,core_energy_share,0.009888847854839428
10,edge_minus_core_energy_share,0.00967627288353956
10,edge_minus_core_speed_mean,0.025146116400489193
10,edge_minus_core_speed_q75,0.009028202211507103
10,edge_minus_core_tangential_mean,0.038473359660021356
10,edge_minus_core_tangential_q75,0.008080502554498298
10,edge_minus_core_radial_abs_mean,0.02816094852381998
10,edge_minus_core_radial_abs_q75,0.024713286722302802
10,edge_minus_core_radial_signed_mean,0.029038930548561354
10,edge_high_speed_fraction_minus_core,0.005034489671323
10,top_speed_radius_mean_z,0.011684231597968803
10,top_tangential_radius_mean_z,0.03221515633280339
10,resid_speed_gini,0.030364596483499956
10,resid_energy_shell_entropy,0.029459634721376138
11,edge_energy_share,0.01883412824589295
11,core_energy_share,0.009694845448524614
11,edge_minus_core_energy_share,0.012204554438076748
11,edge_minus_core_speed_mean,0.017871614125129498
11,edge_minus_core_speed_q75,0.014825515091614089
11,edge_minus_core_tangential_mean,0.01452876500622649
11,edge_minus_core_tangential_q75,0.025658226999101724
11,edge_minus_core_radial_abs_mean,0.009803784735445353
11,edge_minus_core_radial_abs_q75,0.01689484714565584
11,edge_minus_core_radial_signed_mean,0.01621714634746696
11,edge_high_speed_fraction_minus_core,0.004672562518084317
11,top_speed_radius_mean_z,0.014295368255977103
11,top_tangential_radius_mean_z,0.014295368255977103
11,resid_speed_gini,0.037136218104235785
11,resid_energy_shell_entropy,0.011496219195737373
12,edge_energy_share,0.016830851691841897
12,core_energy_share,0.00824779920830579
12,edge_minus_core_energy_share,0.008107955781218978
12,edge_minus_core_speed_mean,0.012217856973022884
12,edge_minus_core_speed_q75,0.01328825687477958
12,edge_minus_core_tangential_mean,0.018969124770915974
12,edge_minus_core_tangential_q75,0.018132251369709113
12,edge_minus_core_radial_abs_mean,0.0273371524364113
12,edge_minus_core_radial_abs_q75,0.0301886647383795
12,edge_minus_core_radial_signed_mean,0.047149822631236016
12,edge_high_speed_fraction_minus_core,0.016796052235662273
12,top_speed_radius_mean_z,0.030359466365674326
