variable,relative_time_sec,median_aligned_resid_z,q25_aligned_resid_z,q75_aligned_resid_z,n_events
edge_minus_core_resid_speed,-0.75,0.0172428870466404,-0.6620759852588083,0.7188747096930581,1471
edge_minus_core_resid_speed,-0.7,-0.02399261950202006,-0.6401433630457616,0.6532053877864162,1471
edge_minus_core_resid_speed,-0.65,0.07130703560782801,-0.6230740288680152,0.6889900562764913,1471
edge_minus_core_resid_speed,-0.6,0.04392602492978365,-0.6060097560278852,0.7169645589754114,1471
edge_minus_core_resid_speed,-0.55,0.05629533460266607,-0.6278113781953497,0.7266388279382785,1471
edge_minus_core_resid_speed,-0.5,0.03593567721920765,-0.6959057316393757,0.6844922649227045,1471
edge_minus_core_resid_speed,-0.45,-0.0188176670614447,-0.6935454502151421,0.657279591529409,1471
edge_minus_core_resid_speed,-0.4,-0.08370494102261705,-0.7866612839540226,0.6462954327480843,1471
edge_minus_core_resid_speed,-0.35,-0.07988069721715821,-0.7424638053362267,0.6208721295297597,1471
edge_minus_core_resid_speed,-0.3,-0.0504882072294903,-0.7226816028035024,0.6108591718296936,1471
edge_minus_core_resid_speed,-0.25,-0.0530583638967379,-0.7550645266777358,0.6144798555942674,1471
edge_minus_core_resid_speed,-0.2,-0.1037390961680137,-0.7851911314069564,0.6322261884989172,1471
edge_minus_core_resid_speed,-0.15,-0.0348964818475946,-0.7249054691415358,0.6059373184215461,1471
edge_minus_core_resid_speed,-0.1,-0.0609943651158155,-0.6730572110142445,0.5988074869594247,1471
edge_minus_core_resid_speed,-0.05,0.0044579515311375,-0.6844063152565127,0.6657914075475998,1471
edge_minus_core_resid_speed,0.0,0.0563061676287411,-0.6378624725194986,0.7022985569726357,1471
edge_minus_core_resid_speed,0.05,0.0888441142764797,-0.592139298277881,0.6951321046836842,1471
edge_minus_core_resid_speed,0.1,0.09526097963882141,-0.58692434436679,0.7493407955511142,1471
edge_minus_core_resid_speed,0.15,0.0326828665548916,-0.6092698400575828,0.6706218648197444,1471
edge_minus_core_resid_speed,0.2,0.02333672520816229,-0.6308637849899806,0.6772763103709913,1471
edge_minus_core_resid_speed,0.25,0.0394559002289334,-0.6386833777262604,0.6925468989666168,1471
edge_minus_core_resid_speed,0.3,0.056984157995289,-0.660677551678281,0.7297570090502052,1471
edge_minus_core_resid_speed,0.35,0.04925283827109811,-0.6437671012538542,0.6742893423344221,1471
edge_minus_core_resid_speed,0.4,-0.006912307195723107,-0.691606543404103,0.696663577702,1471
edge_minus_core_resid_speed,0.45,0.0029412793449500535,-0.6989357965010708,0.6333668595929481,1471
edge_minus_core_resid_speed,0.5,-0.041188913185297854,-0.6767645641006739,0.6053981714470407,1471
edge_minus_core_resid_speed,0.55,-0.0166089981437076,-0.6899575780326035,0.6684790537285122,1471
edge_minus_core_resid_speed,0.6,0.00417071253668155,-0.6432866732959488,0.6986211210772948,1471
edge_minus_core_resid_speed,0.65,0.03075175792661755,-0.6251202273515615,0.7223914783336987,1471
edge_minus_core_resid_speed,0.7,-0.0026528117329709,-0.6419149071400114,0.7335688930121831,1471
