replicate,ob,dataset,n_events,b3_event_direction_abs_z,k8_local_event_direction_abs_z,k8_local_non_event_direction_abs_median_z,k8_local_event_minus_non_event_direction_z,k8_p_non_event_direction_ge_event,k8_local_to_b3_direction_ratio,k8_pass,k10_local_event_direction_abs_z,k10_local_non_event_direction_abs_median_z,k10_local_event_minus_non_event_direction_z,k10_p_non_event_direction_ge_event,k10_local_to_b3_direction_ratio,k10_pass,both_pass,any_pass
3,1,Ob1.txt,28,0.018356008523400275,0.17243311316681195,0.11077794660212766,0.0616551665646843,0.25,9.39382398667956,True,0.03775568265097104,0.18740051075563224,-0.1496448281046612,1.0,2.0568568925450226,False,False,True
3,2,Ob2.txt,43,0.7140956435774461,0.2232506308184855,0.2893299217922527,-0.06607929097376719,0.75,0.3126340747579049,False,0.028326541219605705,0.3900354748860002,-0.3617089336663945,1.0,0.03966771324594084,False,False,False
3,3,Ob3.txt,40,0.8680337592322488,0.4671615543632157,0.1836626106364641,0.2834989437267516,0.25,0.538183624075182,True,0.08888319977346565,0.17640210287136282,-0.08751890309789717,0.75,0.10239601723794742,False,False,True
3,4,Ob4.txt,58,0.26190021085709503,0.07476138743376168,0.27128278535269046,-0.19652139791892878,1.0,0.2854575305193434,False,0.10046504631791751,0.12128625602787166,-0.020821209709954144,0.75,0.38360047893484106,False,False,False
3,5,Ob5.txt,93,0.530949937858427,0.6967896207129755,0.26199367024580905,0.4347959504671664,0.0,1.3123452345120494,True,0.3895753639691636,0.23849011254450547,0.15108525142465812,0.25,0.7337327612100415,True,True,True
3,6,Ob6.txt,112,0.39986894595971595,0.026632214232543527,0.33618159814397675,-0.3095493839114332,1.0,0.0666023568512533,False,0.16416442388687236,0.22245320446189962,-0.05828878057502726,0.5,0.4105455688559791,False,False,False
3,7,Ob7.txt,33,0.0672659580064508,0.9470206386328777,0.3361971983259755,0.6108234403069022,0.0,14.078750480920208,True,0.6118721612696808,0.47067464217099236,0.14119751909868844,0.0,9.096312301253516,True,True,True
3,8,Ob8.txt,84,0.2648819024679073,0.19059437308737587,0.0628048397676621,0.12778953331971377,0.0,0.719544715254633,True,0.13634160442015178,0.1078042846681294,0.02853731975202238,0.5,0.5147260086470827,False,False,True
3,9,Ob9.txt,37,0.3671904454280141,0.7653861239850628,0.45873960484145226,0.3066465191436105,0.0,2.0844391065047825,True,0.8967517803052386,0.29441367461449175,0.6023381056907469,0.0,2.442198024134161,True,True,True
3,10,Ob10.txt,36,0.016739266370635886,0.31170401504027867,0.2132872954939831,0.09841671954629558,0.25,18.62112760133094,True,0.17538041375984503,0.09546415604514329,0.07991625771470175,0.5,10.477186387779714,False,False,True
3,11,Ob11.txt,119,0.13035115256474233,0.08544969269302627,0.4000645580549588,-0.3146148653619325,1.0,0.6555346156267043,False,0.2019228935161031,0.35188482593807785,-0.14996193242197475,0.75,1.549068723545139,False,False,False
3,12,Ob12.txt,91,0.03883076372603306,0.2150197207631191,0.1917165306318683,0.02330319013125079,0.25,5.537354925083918,False,0.01784695656077094,0.16790262086398436,-0.15005566430321343,0.75,0.4596086929087599,False,False,False
3,13,Ob13.txt,102,0.2387354798534646,0.008135221910628224,0.06980442212650495,-0.06166920021587673,0.5,0.03407630032880579,False,0.1438677440107635,0.042703380970390725,0.10116436304037277,0.25,0.6026240594781691,True,False,True
3,14,Ob14.txt,47,0.0945914605748781,0.23086326674228203,0.39987858104163976,-0.16901531429935773,0.5,2.44063539498401,False,0.14867853868219527,0.3278397433967397,-0.17916120471454444,0.75,1.5717966270803285,False,False,False
3,15,Ob15.txt,96,0.26575618863937794,0.22210253705797667,0.5016442761758173,-0.27954173911784064,1.0,0.8357379679288004,False,0.07641659502232583,0.28293243630935977,-0.20651584128703393,1.0,0.28754399065385655,False,False,False
3,16,Ob16.txt,84,0.20118869227448855,0.23892826416504312,0.34621285860007733,-0.10728459443503421,0.75,1.187582967332305,False,0.33875893706871807,0.457691786677907,-0.11893284960918893,0.5,1.6837871613904511,False,False,False
